File,for loops,while loops,do-while loops,total loops,total nodes
crypto/params_from_text.c,1,0,3,4,3169
ssl/ssl_sess.c,17,3,5,25,25680
ssl/quic/quic_rcidm.c,16,3,1,20,17993
crypto/bn/rsaz_exp_x2.c,6,1,6,13,5537
apps/openssl-bin-pkcs12.c,8,4,5,17,13231
test/helpers/rpktest-bin-ssltestlib.c,6,7,12,25,18505
crypto/hpke/hpke.c,4,0,0,4,17967
crypto/bn/bn_nist.c,13,0,4,17,10586
providers/implementations/kdfs/tls1_prf.c,4,2,1,7,4652
crypto/ec/ec2_smpl.c,4,0,3,7,11042
crypto/bn/rsaz-avx2.c,4,1,5,10,22289
ssl/t1_lib.c,11,15,59,85,56741
crypto/bio/bss_dgram_pair.c,5,2,5,12,13507
providers/implementations/rands/drbg_hash.c,3,3,8,14,6364
test/bio_pw_callback_test-bin-bio_pw_callback_test.c,2,1,1,4,3100
crypto/hashtable/hashtable.c,3,5,8,16,9896
ssl/record/methods/ssl3_cbc.c,13,0,7,20,10859
ssl/ssl_lib.c,8,6,32,46,110151
engines/padlock-dso-e_padlock.c,3,1,14,18,18218
ssl/record/methods/ssl3_cbc.c,13,0,7,20,10859
providers/implementations/keymgmt/ec_kmgmt.c,1,0,0,1,13076
test/bio_enc_test-bin-bio_enc_test.c,11,2,3,16,3627
crypto/err/err.c,66,2,21,89,34690
crypto/ripemd/rmd_dgst.c,3,0,4,7,12981
crypto/ct/ct_oct.c,5,1,1,7,5281
crypto/evp/e_aes_cbc_hmac_sha1.c,9,2,7,18,18436
crypto/rsa/rsa_ossl.c,1,1,3,5,12797
crypto/sha/sha256.c,8,0,3,11,3832
providers/implementations/digests/blake2s_prov.c,3,0,1,4,16117
ssl/quic/quic_fc.c,1,0,0,1,3667
crypto/cmp/cmp_ctx.c,2,0,0,2,14794
crypto/modes/ghash-x86_64.c,131,4,3,138,35987
ssl/quic/quic_record_tx.c,1,5,7,13,10525
crypto/md5/md5_dgst.c,3,0,3,6,2174
crypto/des/ofb64enc.c,2,0,1,3,609
crypto/rc2/rc2_skey.c,1,0,4,5,2394
providers/implementations/digests/sha2_prov.c,8,0,0,8,8969
engines/loader_attic-dso-e_loader_attic.c,4,1,9,14,17301
crypto/seed/seed.c,2,0,0,2,20073
crypto/ml_dsa/ml_dsa_key.c,1,0,11,12,9044
test/helpers/quicfaultstest-bin-quictestlib.c,1,1,11,13,15095
test/bftest-bin-bftest.c,9,1,11,21,4431
ssl/quic/quic_wire_pkt.c,5,0,3,8,13728
crypto/des/des_enc.c,4,0,4,8,31283
ssl/ssl_conf.c,1,1,8,10,15652
test/helpers/json_test-bin-quictestlib.c,1,1,11,13,15095
providers/implementations/kdfs/pbkdf1.c,3,0,1,4,2646
crypto/modes/ccm128.c,17,0,9,26,26251
ssl/ssl_asn1.c,12,0,2,14,8407
crypto/aes/aesni-xts-avx512.c,40,0,0,40,25855
crypto/ec/curve448/f_generic.c,1,1,9,11,6437
crypto/des/fcrypt.c,2,0,2,4,2336
crypto/ec/ecp_smpl.c,4,0,8,12,22537
ssl/s3_lib.c,3,1,9,13,23630
ssl/rio/poll_builder.c,1,0,3,4,1139
test/helpers/quic_newcid_test-bin-ssltestlib.c,6,7,12,25,18505
apps/lib/ca_internals_test-bin-apps.c,9,13,23,45,41267
crypto/cmac/cmac.c,1,0,6,7,5839
crypto/bn/rsaz-4k-avx512.c,4,0,2,6,5973
test/helpers/recordlentest-bin-ssltestlib.c,6,7,12,25,18505
crypto/ec/curve25519.c,25,2,38,65,52412
crypto/ec/curve448/scalar.c,4,1,7,12,8339
crypto/deterministic_nonce.c,1,0,2,3,1534
crypto/evp/pmeth_lib.c,1,2,0,3,30832
ssl/statem/statem.c,2,0,0,2,9134
crypto/bn/bn_exp.c,2,5,37,44,18745
providers/implementations/ciphers/cipher_aes_siv_hw.c,1,0,0,1,1251
crypto/ec/ecp_nistz256.c,7,3,18,28,13240
test/provider_test-bin-provider_test.c,2,1,1,4,3538
test/helpers/tls13ccstest-bin-ssltestlib.c,6,7,12,25,18505
crypto/bn/rsaz-avx2.c,4,1,5,10,22289
crypto/bn/rsaz_exp.c,1,0,3,4,2755
crypto/modes/aes-gcm-avx512.c,174,0,0,174,80208
crypto/des/cfb_enc.c,2,2,4,8,6803
providers/implementations/ciphers/cipher_aria_ccm_hw.c,1,0,0,1,170
crypto/ts/ts_verify_ctx.c,3,0,0,3,2742
providers/implementations/digests/md4_prov.c,1,0,0,1,1040
crypto/pem/pvkfmt.c,1,0,0,1,14175
providers/implementations/ciphers/cipher_chacha20_hw.c,2,2,3,7,2967
crypto/bn/bn_exp.c,2,5,37,44,18745
crypto/bn/bn_blind.c,1,0,2,3,4315
ssl/statem/statem_lib.c,5,2,12,19,32297
providers/implementations/kdfs/pbkdf2.c,3,0,2,5,5457
crypto/modes/ocb128.c,11,3,7,21,13109
test/helpers/fatalerrtest-bin-ssltestlib.c,6,7,12,25,18505
