file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
modules/godot_physics_3d/godot_soft_body_3d.c,modules/godot_physics_3d/godot_soft_body_3d.c,godot,modules/godot_physics_3d/godot_soft_body_3d.c,32,2,0,34,modules/godot_physics_3d/godot_soft_body_3d.c,modules/godot_physics_3d/godot_soft_body_3d.c,12,12,68,92,70460,modules/godot_physics_3d/godot_soft_body_3d.c,16,12,68,96,69852
modules/godot_physics_3d/godot_space_3d.c,modules/godot_physics_3d/godot_space_3d.c,godot,modules/godot_physics_3d/godot_space_3d.c,21,4,1,25,modules/godot_physics_3d/godot_space_3d.c,modules/godot_physics_3d/godot_space_3d.c,10,17,61,88,82807,modules/godot_physics_3d/godot_space_3d.c,12,17,61,90,82368
modules/godot_physics_3d/godot_shape_3d.c,modules/godot_physics_3d/godot_shape_3d.c,godot,modules/godot_physics_3d/godot_shape_3d.c,43,2,0,45,modules/godot_physics_3d/godot_shape_3d.c,modules/godot_physics_3d/godot_shape_3d.c,17,28,76,121,123281,modules/godot_physics_3d/godot_shape_3d.c,32,28,76,136,121650
modules/csg/csg_shape.c,modules/csg/csg_shape.c,godot,modules/csg/csg_shape.c,38,1,0,39,modules/csg/csg_shape.c,modules/csg/csg_shape.c,21,23,86,130,461946,modules/csg/csg_shape.c,36,21,85,142,454407
modules/csg/csg.c,modules/csg/csg.c,godot,modules/csg/csg.c,3,0,0,3,modules/csg/csg.c,modules/csg/csg.c,2,4,15,21,19268,modules/csg/csg.c,3,4,15,22,18953
modules/gdscript/gdscript_tokenizer.c,modules/gdscript/gdscript_tokenizer.c,godot,modules/gdscript/gdscript_tokenizer.c,4,14,0,18,modules/gdscript/gdscript_tokenizer.c,modules/gdscript/gdscript_tokenizer.c,1,12,48,61,97654,modules/gdscript/gdscript_tokenizer.c,6,12,48,66,96824
modules/gdscript/gdscript_editor.c,modules/gdscript/gdscript_editor.c,godot,modules/gdscript/gdscript_editor.c,33,29,3,62,modules/gdscript/gdscript_editor.c,modules/gdscript/gdscript_editor.c,12,30,120,162,199968,modules/gdscript/gdscript_editor.c,16,29,113,158,179839
modules/gdscript/gdscript.c,modules/gdscript/gdscript.c,godot,modules/gdscript/gdscript.c,17,43,0,60,modules/gdscript/gdscript.c,modules/gdscript/gdscript.c,53,144,387,584,513160,modules/gdscript/gdscript.c,78,144,387,609,504436
modules/gdscript/gdscript_parser.c,modules/gdscript/gdscript_parser.c,godot,modules/gdscript/gdscript_parser.c,37,28,13,65,modules/gdscript/gdscript_parser.c,modules/gdscript/gdscript_parser.c,39,167,415,621,1148302,modules/gdscript/gdscript_parser.c,51,124,409,584,1121343
modules/gdscript/gdscript_function.c,modules/gdscript/gdscript_function.c,godot,modules/gdscript/gdscript_function.c,4,0,0,4,modules/gdscript/gdscript_function.c,modules/gdscript/gdscript_function.c,5,12,61,78,93179,modules/gdscript/gdscript_function.c,11,12,60,83,89518
modules/gdscript/gdscript_compiler.c,modules/gdscript/gdscript_compiler.c,godot,modules/gdscript/gdscript_compiler.c,31,10,0,41,modules/gdscript/gdscript_compiler.c,modules/gdscript/gdscript_compiler.c,24,59,214,297,364615,modules/gdscript/gdscript_compiler.c,46,59,214,319,353767
modules/gdscript/gdscript_cache.c,modules/gdscript/gdscript_cache.c,godot,modules/gdscript/gdscript_cache.c,0,1,0,1,modules/gdscript/gdscript_cache.c,modules/gdscript/gdscript_cache.c,3,16,87,106,126423,modules/gdscript/gdscript_cache.c,7,16,87,110,122969
modules/gdscript/language_server/gdscript_text_document.c,modules/gdscript/language_server/gdscript_text_document.c,godot,modules/gdscript/language_server/gdscript_text_document.c,2,0,0,2,modules/gdscript/language_server/gdscript_text_document.c,modules/gdscript/language_server/gdscript_text_document.c,9,9,36,54,148050,modules/gdscript/language_server/gdscript_text_document.c,15,9,36,60,144231
modules/gdscript/language_server/gdscript_extend_parser.c,modules/gdscript/language_server/gdscript_extend_parser.c,godot,modules/gdscript/language_server/gdscript_extend_parser.c,22,4,0,26,modules/gdscript/language_server/gdscript_extend_parser.c,modules/gdscript/language_server/gdscript_extend_parser.c,16,18,102,136,147100,modules/gdscript/language_server/gdscript_extend_parser.c,26,17,99,142,143118
modules/gdscript/language_server/gdscript_workspace.c,modules/gdscript/language_server/gdscript_workspace.c,godot,modules/gdscript/language_server/gdscript_workspace.c,20,5,0,25,modules/gdscript/language_server/gdscript_workspace.c,modules/gdscript/language_server/gdscript_workspace.c,14,32,128,174,222824,modules/gdscript/language_server/gdscript_workspace.c,15,32,128,175,222290
modules/gdscript/register_types.c,modules/gdscript/register_types.c,godot,modules/gdscript/register_types.c,0,0,0,0,modules/gdscript/register_types.c,modules/gdscript/register_types.c,8,0,7,15,46116,modules/gdscript/register_types.c,11,0,7,18,44994
modules/gdscript/gdscript_byte_codegen.c,modules/gdscript/gdscript_byte_codegen.c,godot,modules/gdscript/gdscript_byte_codegen.c,32,0,0,32,modules/gdscript/gdscript_byte_codegen.c,modules/gdscript/gdscript_byte_codegen.c,32,75,176,283,326736,modules/gdscript/gdscript_byte_codegen.c,45,75,176,296,324967
modules/gdscript/gdscript_disassembler.c,modules/gdscript/gdscript_disassembler.c,godot,modules/gdscript/gdscript_disassembler.c,22,0,0,22,modules/gdscript/gdscript_disassembler.c,modules/gdscript/gdscript_disassembler.c,0,22,2,24,89577,modules/gdscript/gdscript_disassembler.c,0,22,2,24,89577
modules/gdscript/gdscript_analyzer.c,modules/gdscript/gdscript_analyzer.c,godot,modules/gdscript/gdscript_analyzer.c,45,17,0,62,modules/gdscript/gdscript_analyzer.c,modules/gdscript/gdscript_analyzer.c,43,76,284,403,520839,modules/gdscript/gdscript_analyzer.c,43,76,284,403,520839
modules/gdscript/editor/gdscript_translation_parser_plugin.c,modules/gdscript/editor/gdscript_translation_parser_plugin.c,godot,modules/gdscript/editor/gdscript_translation_parser_plugin.c,11,0,0,11,modules/gdscript/editor/gdscript_translation_parser_plugin.c,modules/gdscript/editor/gdscript_translation_parser_plugin.c,6,10,42,58,55727,modules/gdscript/editor/gdscript_translation_parser_plugin.c,7,10,41,58,55427
modules/gdscript/editor/gdscript_highlighter.c,modules/gdscript/editor/gdscript_highlighter.c,godot,modules/gdscript/editor/gdscript_highlighter.c,12,11,0,23,modules/gdscript/editor/gdscript_highlighter.c,modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110,125635,modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110,125635
modules/gdscript/editor/gdscript_docgen.c,modules/gdscript/editor/gdscript_docgen.c,godot,modules/gdscript/editor/gdscript_docgen.c,2,1,0,3,modules/gdscript/editor/gdscript_docgen.c,modules/gdscript/editor/gdscript_docgen.c,2,24,94,120,138263,modules/gdscript/editor/gdscript_docgen.c,12,24,94,130,136335
modules/lightmapper_rd/lightmapper_rd.c,modules/lightmapper_rd/lightmapper_rd.c,godot,modules/lightmapper_rd/lightmapper_rd.c,62,3,0,65,modules/lightmapper_rd/lightmapper_rd.c,modules/lightmapper_rd/lightmapper_rd.c,18,86,237,341,345505,modules/lightmapper_rd/lightmapper_rd.c,30,86,237,353,341513
modules/webrtc/webrtc_peer_connection.c,modules/webrtc/webrtc_peer_connection.c,godot,modules/webrtc/webrtc_peer_connection.c,0,0,0,0,modules/webrtc/webrtc_peer_connection.c,modules/webrtc/webrtc_peer_connection.c,5,0,38,43,144236,modules/webrtc/webrtc_peer_connection.c,6,0,38,44,143624
modules/gridmap/editor/grid_map_editor_plugin.c,modules/gridmap/editor/grid_map_editor_plugin.c,godot,modules/gridmap/editor/grid_map_editor_plugin.c,40,0,0,40,modules/gridmap/editor/grid_map_editor_plugin.c,modules/gridmap/editor/grid_map_editor_plugin.c,18,21,113,152,242150,modules/gridmap/editor/grid_map_editor_plugin.c,18,21,113,152,242150
modules/mobile_vr/mobile_vr_interface.c,modules/mobile_vr/mobile_vr_interface.c,godot,modules/mobile_vr/mobile_vr_interface.c,1,0,0,1,modules/mobile_vr/mobile_vr_interface.c,modules/mobile_vr/mobile_vr_interface.c,5,0,9,14,83043,modules/mobile_vr/mobile_vr_interface.c,5,0,9,14,82962
modules/enet/enet_packet_peer.c,modules/enet/enet_packet_peer.c,godot,modules/enet/enet_packet_peer.c,1,0,0,1,modules/enet/enet_packet_peer.c,modules/enet/enet_packet_peer.c,4,1,29,34,102095,modules/enet/enet_packet_peer.c,5,1,29,35,101765
modules/enet/enet_connection.c,modules/enet/enet_connection.c,godot,modules/enet/enet_connection.c,2,2,0,4,modules/enet/enet_connection.c,modules/enet/enet_connection.c,6,3,35,44,153767,modules/enet/enet_connection.c,13,3,35,51,152526
modules/enet/enet_multiplayer_peer.c,modules/enet/enet_multiplayer_peer.c,godot,modules/enet/enet_multiplayer_peer.c,0,0,3,0,modules/enet/enet_multiplayer_peer.c,modules/enet/enet_multiplayer_peer.c,11,14,36,61,123992,modules/enet/enet_multiplayer_peer.c,11,14,36,61,123992
modules/cvtt/image_compress_cvtt.c,modules/cvtt/image_compress_cvtt.c,godot,modules/cvtt/image_compress_cvtt.c,11,0,0,11,modules/cvtt/image_compress_cvtt.c,modules/cvtt/image_compress_cvtt.c,2,0,13,15,12092,modules/cvtt/image_compress_cvtt.c,3,0,13,16,11940
modules/fbx/fbx_document.c,modules/fbx/fbx_document.c,godot,modules/fbx/fbx_document.c,54,3,0,57,modules/fbx/fbx_document.c,modules/fbx/fbx_document.c,69,55,159,283,331193,modules/fbx/fbx_document.c,61,52,149,262,297191
modules/fbx/register_types.c,modules/fbx/register_types.c,godot,modules/fbx/register_types.c,0,0,0,0,modules/fbx/register_types.c,modules/fbx/register_types.c,6,11,36,53,49433,modules/fbx/register_types.c,9,11,36,56,48903
modules/fbx/editor/editor_scene_importer_fbx2gltf.c,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,godot,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,0,0,0,0,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,8,10,34,52,55617,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,9,10,34,53,54959
modules/fbx/editor/editor_scene_importer_ufbx.c,modules/fbx/editor/editor_scene_importer_ufbx.c,godot,modules/fbx/editor/editor_scene_importer_ufbx.c,0,0,0,0,modules/fbx/editor/editor_scene_importer_ufbx.c,modules/fbx/editor/editor_scene_importer_ufbx.c,10,12,37,59,63146,modules/fbx/editor/editor_scene_importer_ufbx.c,13,12,37,62,62214
modules/bmp/image_loader_bmp.c,modules/bmp/image_loader_bmp.c,godot,modules/bmp/image_loader_bmp.c,5,0,0,5,modules/bmp/image_loader_bmp.c,modules/bmp/image_loader_bmp.c,3,3,15,21,23759,modules/bmp/image_loader_bmp.c,4,3,15,22,23555
modules/godot_physics_2d/godot_body_2d.c,modules/godot_physics_2d/godot_body_2d.c,godot,modules/godot_physics_2d/godot_body_2d.c,5,0,0,5,modules/godot_physics_2d/godot_body_2d.c,modules/godot_physics_2d/godot_body_2d.c,0,1,24,25,28439,modules/godot_physics_2d/godot_body_2d.c,3,1,24,28,27833
modules/godot_physics_2d/godot_physics_server_2d.c,modules/godot_physics_2d/godot_physics_server_2d.c,godot,modules/godot_physics_2d/godot_physics_server_2d.c,5,7,0,12,modules/godot_physics_2d/godot_physics_server_2d.c,modules/godot_physics_2d/godot_physics_server_2d.c,5,13,45,63,144025,modules/godot_physics_2d/godot_physics_server_2d.c,21,13,45,79,143339
modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,godot,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,0,0,0,0,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,7,7,37,51,72779,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,9,7,37,53,72242
modules/godot_physics_2d/godot_shape_2d.c,modules/godot_physics_2d/godot_shape_2d.c,godot,modules/godot_physics_2d/godot_shape_2d.c,16,2,0,18,modules/godot_physics_2d/godot_shape_2d.c,modules/godot_physics_2d/godot_shape_2d.c,11,22,59,92,78090,modules/godot_physics_2d/godot_shape_2d.c,14,22,59,95,76984
modules/godot_physics_2d/godot_joints_2d.c,modules/godot_physics_2d/godot_joints_2d.c,godot,modules/godot_physics_2d/godot_joints_2d.c,0,0,0,0,modules/godot_physics_2d/godot_joints_2d.c,modules/godot_physics_2d/godot_joints_2d.c,1,0,1,2,24991,modules/godot_physics_2d/godot_joints_2d.c,2,0,1,3,24739
modules/godot_physics_2d/godot_body_pair_2d.c,modules/godot_physics_2d/godot_body_pair_2d.c,godot,modules/godot_physics_2d/godot_body_pair_2d.c,7,0,0,7,modules/godot_physics_2d/godot_body_pair_2d.c,modules/godot_physics_2d/godot_body_pair_2d.c,2,6,10,18,31951,modules/godot_physics_2d/godot_body_pair_2d.c,4,6,10,20,31618
modules/godot_physics_2d/godot_step_2d.c,modules/godot_physics_2d/godot_step_2d.c,godot,modules/godot_physics_2d/godot_step_2d.c,8,4,0,12,modules/godot_physics_2d/godot_step_2d.c,modules/godot_physics_2d/godot_step_2d.c,4,2,16,22,13692,modules/godot_physics_2d/godot_step_2d.c,4,2,16,22,13692
modules/bcdec/image_decompress_bcdec.c,modules/bcdec/image_decompress_bcdec.c,godot,modules/bcdec/image_decompress_bcdec.c,1,0,0,1,modules/bcdec/image_decompress_bcdec.c,modules/bcdec/image_decompress_bcdec.c,0,1,35,36,27398,modules/bcdec/image_decompress_bcdec.c,2,1,35,38,27357
modules/noise/noise.c,modules/noise/noise.c,godot,modules/noise/noise.c,11,0,0,11,modules/noise/noise.c,modules/noise/noise.c,5,9,61,75,114738,modules/noise/noise.c,14,9,61,84,113689
modules/noise/editor/noise_editor_plugin.c,modules/noise/editor/noise_editor_plugin.c,godot,modules/noise/editor/noise_editor_plugin.c,0,0,0,0,modules/noise/editor/noise_editor_plugin.c,modules/noise/editor/noise_editor_plugin.c,12,2,17,31,56151,modules/noise/editor/noise_editor_plugin.c,13,2,17,32,55671
modules/vorbis/audio_stream_ogg_vorbis.c,modules/vorbis/audio_stream_ogg_vorbis.c,godot,modules/vorbis/audio_stream_ogg_vorbis.c,7,6,0,13,modules/vorbis/audio_stream_ogg_vorbis.c,modules/vorbis/audio_stream_ogg_vorbis.c,16,9,42,67,141373,modules/vorbis/audio_stream_ogg_vorbis.c,19,8,42,69,140229
modules/minimp3/audio_stream_mp3.c,modules/minimp3/audio_stream_mp3.c,godot,modules/minimp3/audio_stream_mp3.c,2,1,0,3,modules/minimp3/audio_stream_mp3.c,modules/minimp3/audio_stream_mp3.c,18,10,90,118,171639,modules/minimp3/audio_stream_mp3.c,22,8,86,116,159887
modules/gltf/skin_tool.c,modules/gltf/skin_tool.c,godot,modules/gltf/skin_tool.c,50,4,1,54,modules/gltf/skin_tool.c,modules/gltf/skin_tool.c,22,53,118,193,142746,modules/gltf/skin_tool.c,22,53,118,193,140333
modules/gltf/gltf_document.c,modules/gltf/gltf_document.c,godot,modules/gltf/gltf_document.c,239,17,0,256,modules/gltf/gltf_document.c,modules/gltf/gltf_document.c,111,133,448,692,1113994,modules/gltf/gltf_document.c,115,131,442,688,1042257
modules/gltf/register_types.c,modules/gltf/register_types.c,godot,modules/gltf/register_types.c,0,0,0,0,modules/gltf/register_types.c,modules/gltf/register_types.c,21,8,35,64,126041,modules/gltf/register_types.c,28,8,35,71,123903
modules/gltf/structures/gltf_animation.c,modules/gltf/structures/gltf_animation.c,godot,modules/gltf/structures/gltf_animation.c,0,0,0,0,modules/gltf/structures/gltf_animation.c,modules/gltf/structures/gltf_animation.c,4,0,17,21,63713,modules/gltf/structures/gltf_animation.c,5,0,17,22,62829
modules/gltf/editor/editor_scene_importer_gltf.c,modules/gltf/editor/editor_scene_importer_gltf.c,godot,modules/gltf/editor/editor_scene_importer_gltf.c,0,0,0,0,modules/gltf/editor/editor_scene_importer_gltf.c,modules/gltf/editor/editor_scene_importer_gltf.c,8,9,31,48,53808,modules/gltf/editor/editor_scene_importer_gltf.c,9,10,30,49,53104
modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,godot,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,0,0,0,0,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,11,11,36,58,63628,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,12,11,36,59,63005
modules/gltf/editor/editor_scene_importer_blend.c,modules/gltf/editor/editor_scene_importer_blend.c,godot,modules/gltf/editor/editor_scene_importer_blend.c,0,1,0,1,modules/gltf/editor/editor_scene_importer_blend.c,modules/gltf/editor/editor_scene_importer_blend.c,19,12,48,79,165367,modules/gltf/editor/editor_scene_importer_blend.c,23,12,46,81,160435
modules/gltf/extensions/gltf_light.c,modules/gltf/extensions/gltf_light.c,godot,modules/gltf/extensions/gltf_light.c,0,0,0,0,modules/gltf/extensions/gltf_light.c,modules/gltf/extensions/gltf_light.c,5,1,8,14,98246,modules/gltf/extensions/gltf_light.c,7,1,8,16,97268
modules/gltf/extensions/physics/gltf_physics_body.c,modules/gltf/extensions/physics/gltf_physics_body.c,godot,modules/gltf/extensions/physics/gltf_physics_body.c,0,0,0,0,modules/gltf/extensions/physics/gltf_physics_body.c,modules/gltf/extensions/physics/gltf_physics_body.c,5,0,9,14,116770,modules/gltf/extensions/physics/gltf_physics_body.c,11,0,9,20,113784
modules/gltf/extensions/physics/gltf_physics_shape.c,modules/gltf/extensions/physics/gltf_physics_shape.c,godot,modules/gltf/extensions/physics/gltf_physics_shape.c,2,0,0,2,modules/gltf/extensions/physics/gltf_physics_shape.c,modules/gltf/extensions/physics/gltf_physics_shape.c,7,0,17,24,151108,modules/gltf/extensions/physics/gltf_physics_shape.c,8,0,17,25,149437
modules/gltf/extensions/physics/gltf_document_extension_physics.c,modules/gltf/extensions/physics/gltf_document_extension_physics.c,godot,modules/gltf/extensions/physics/gltf_document_extension_physics.c,7,0,0,7,modules/gltf/extensions/physics/gltf_document_extension_physics.c,modules/gltf/extensions/physics/gltf_document_extension_physics.c,12,6,11,29,80129,modules/gltf/extensions/physics/gltf_document_extension_physics.c,13,6,11,30,76675
modules/ogg/register_types.c,modules/ogg/register_types.c,godot,modules/ogg/register_types.c,0,0,0,0,modules/ogg/register_types.c,modules/ogg/register_types.c,4,0,9,13,20534,modules/ogg/register_types.c,5,0,9,14,20380
modules/basis_universal/image_compress_basisu.c,modules/basis_universal/image_compress_basisu.c,godot,modules/basis_universal/image_compress_basisu.c,7,0,0,7,modules/basis_universal/image_compress_basisu.c,modules/basis_universal/image_compress_basisu.c,14,3,33,50,27255,modules/basis_universal/image_compress_basisu.c,16,3,33,52,27049
modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,godot,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,2,0,0,2,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,0,0,3,3,23150,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,6,0,3,9,22114
modules/jolt_physics/joints/jolt_joint_3d.c,modules/jolt_physics/joints/jolt_joint_3d.c,godot,modules/jolt_physics/joints/jolt_joint_3d.c,0,0,0,0,modules/jolt_physics/joints/jolt_joint_3d.c,modules/jolt_physics/joints/jolt_joint_3d.c,0,0,1,1,9946,modules/jolt_physics/joints/jolt_joint_3d.c,1,0,1,2,9770
modules/jolt_physics/jolt_physics_server_3d.c,modules/jolt_physics/jolt_physics_server_3d.c,godot,modules/jolt_physics/jolt_physics_server_3d.c,0,0,0,0,modules/jolt_physics/jolt_physics_server_3d.c,modules/jolt_physics/jolt_physics_server_3d.c,3,9,41,53,160298,modules/jolt_physics/jolt_physics_server_3d.c,10,9,41,60,159317
modules/jolt_physics/shapes/jolt_shape_instance_3d.c,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,godot,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,0,0,0,0,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,0,0,2,2,2948,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,1,0,2,3,2938
modules/jolt_physics/shapes/jolt_height_map_shape_3d.c,modules/jolt_physics/shapes/jolt_height_map_shape_3d.c,godot,modules/jolt_physics/shapes/jolt_height_map_shape_3d.c,8,0,0,8,modules/jolt_physics/shapes/jolt_height_map_shape_3d.c,modules/jolt_physics/shapes/jolt_height_map_shape_3d.c,1,3,17,21,17033,modules/jolt_physics/shapes/jolt_height_map_shape_3d.c,3,3,17,23,16895
modules/jolt_physics/shapes/jolt_custom_ray_shape.c,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,godot,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,0,0,0,0,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,0,0,7,7,14718,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,2,0,7,9,14634
modules/jolt_physics/shapes/jolt_concave_polygon_shape_3d.c,modules/jolt_physics/shapes/jolt_concave_polygon_shape_3d.c,godot,modules/jolt_physics/shapes/jolt_concave_polygon_shape_3d.c,2,0,0,2,modules/jolt_physics/shapes/jolt_concave_polygon_shape_3d.c,modules/jolt_physics/shapes/jolt_concave_polygon_shape_3d.c,0,3,8,11,11029,modules/jolt_physics/shapes/jolt_concave_polygon_shape_3d.c,1,3,8,12,10935
modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,godot,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,2,0,0,2,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,0,1,7,8,7895,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,1,1,7,9,7807
modules/jolt_physics/objects/jolt_soft_body_3d.c,modules/jolt_physics/objects/jolt_soft_body_3d.c,godot,modules/jolt_physics/objects/jolt_soft_body_3d.c,3,0,0,3,modules/jolt_physics/objects/jolt_soft_body_3d.c,modules/jolt_physics/objects/jolt_soft_body_3d.c,4,12,39,55,60399,modules/jolt_physics/objects/jolt_soft_body_3d.c,7,12,39,58,59842
modules/jolt_physics/objects/jolt_area_3d.c,modules/jolt_physics/objects/jolt_area_3d.c,godot,modules/jolt_physics/objects/jolt_area_3d.c,1,0,0,1,modules/jolt_physics/objects/jolt_area_3d.c,modules/jolt_physics/objects/jolt_area_3d.c,1,19,44,64,60322,modules/jolt_physics/objects/jolt_area_3d.c,2,19,44,65,59584
modules/jolt_physics/objects/jolt_body_3d.c,modules/jolt_physics/objects/jolt_body_3d.c,godot,modules/jolt_physics/objects/jolt_body_3d.c,2,0,0,2,modules/jolt_physics/objects/jolt_body_3d.c,modules/jolt_physics/objects/jolt_body_3d.c,4,5,16,25,74863,modules/jolt_physics/objects/jolt_body_3d.c,8,5,16,29,73696
modules/jolt_physics/spaces/jolt_space_3d.c,modules/jolt_physics/spaces/jolt_space_3d.c,godot,modules/jolt_physics/spaces/jolt_space_3d.c,1,4,0,5,modules/jolt_physics/spaces/jolt_space_3d.c,modules/jolt_physics/spaces/jolt_space_3d.c,2,5,28,35,48815,modules/jolt_physics/spaces/jolt_space_3d.c,12,5,28,45,45773
modules/jolt_physics/spaces/jolt_contact_listener_3d.c,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,godot,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,2,0,2,2,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,3,8,18,29,39882,modules/jolt_physics/spaces/jolt_contact_listener_3d.c,10,8,18,36,38145
modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,godot,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,12,0,0,12,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,8,8,49,65,110191,modules/jolt_physics/spaces/jolt_physics_direct_space_state_3d.c,11,8,49,68,109192
modules/upnp/upnp_miniupnp.c,modules/upnp/upnp_miniupnp.c,godot,modules/upnp/upnp_miniupnp.c,1,1,0,2,modules/upnp/upnp_miniupnp.c,modules/upnp/upnp_miniupnp.c,4,3,13,20,36391,modules/upnp/upnp_miniupnp.c,8,3,13,24,33598
modules/upnp/upnp_device_miniupnp.c,modules/upnp/upnp_device_miniupnp.c,godot,modules/upnp/upnp_device_miniupnp.c,0,0,0,0,modules/upnp/upnp_device_miniupnp.c,modules/upnp/upnp_device_miniupnp.c,4,0,5,9,22072,modules/upnp/upnp_device_miniupnp.c,6,0,5,11,20628
modules/navigation/3d/nav_map_builder_3d.c,modules/navigation/3d/nav_map_builder_3d.c,godot,modules/navigation/3d/nav_map_builder_3d.c,5,0,0,5,modules/navigation/3d/nav_map_builder_3d.c,modules/navigation/3d/nav_map_builder_3d.c,4,8,33,45,34986,modules/navigation/3d/nav_map_builder_3d.c,6,8,32,46,34650
modules/navigation/3d/nav_mesh_queries_3d.c,modules/navigation/3d/nav_mesh_queries_3d.c,godot,modules/navigation/3d/nav_mesh_queries_3d.c,20,5,0,25,modules/navigation/3d/nav_mesh_queries_3d.c,modules/navigation/3d/nav_mesh_queries_3d.c,4,9,41,54,51669,modules/navigation/3d/nav_mesh_queries_3d.c,4,9,41,54,51661
modules/navigation/3d/godot_navigation_server_3d.c,modules/navigation/3d/godot_navigation_server_3d.c,godot,modules/navigation/3d/godot_navigation_server_3d.c,7,0,0,7,modules/navigation/3d/godot_navigation_server_3d.c,modules/navigation/3d/godot_navigation_server_3d.c,16,14,52,82,166177,modules/navigation/3d/godot_navigation_server_3d.c,16,14,52,82,166177
modules/navigation/2d/nav_mesh_generator_2d.c,modules/navigation/2d/nav_mesh_generator_2d.c,godot,modules/navigation/2d/nav_mesh_generator_2d.c,8,0,0,8,modules/navigation/2d/nav_mesh_generator_2d.c,modules/navigation/2d/nav_mesh_generator_2d.c,35,29,94,158,127210,modules/navigation/2d/nav_mesh_generator_2d.c,37,29,94,160,122649
modules/navigation/nav_region.c,modules/navigation/nav_region.c,godot,modules/navigation/nav_region.c,3,0,0,3,modules/navigation/nav_region.c,modules/navigation/nav_region.c,0,0,21,21,18225,modules/navigation/nav_region.c,3,0,21,24,18002
modules/navigation/nav_map.c,modules/navigation/nav_map.c,godot,modules/navigation/nav_map.c,7,0,0,7,modules/navigation/nav_map.c,modules/navigation/nav_map.c,9,18,75,102,61705,modules/navigation/nav_map.c,17,18,68,103,61087
modules/navigation/editor/navigation_mesh_editor_plugin.c,modules/navigation/editor/navigation_mesh_editor_plugin.c,godot,modules/navigation/editor/navigation_mesh_editor_plugin.c,0,0,0,0,modules/navigation/editor/navigation_mesh_editor_plugin.c,modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,15,39375,modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,15,39367
