File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/lib libcoreutils_a-full-write.c,0,0,1,1,196
../samples/decompilations/coreutils/lib libcoreutils_a-printf-args.c,0,0,1,1,1381
../samples/decompilations/coreutils/src sha256sum-digest.c,1,8,12,21,10759
../samples/decompilations/coreutils/src rmdir.c,0,1,5,6,3088
../samples/decompilations/coreutils/lib libcoreutils_a-yesno.c,0,0,0,0,235
../samples/decompilations/coreutils/lib libcoreutils_a-fdutimensat.c,0,0,0,0,233
../samples/decompilations/coreutils/lib libcoreutils_a-close-stream.c,0,0,0,0,177
../samples/decompilations/coreutils/lib libcoreutils_a-c32iscntrl.c,0,0,0,0,34
../samples/decompilations/coreutils/lib libcoreutils_a-tmpdir.c,0,0,0,0,759
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_upper.c,0,0,0,0,217
../samples/decompilations/coreutils/lib libcoreutils_a-c32tolower.c,0,0,0,0,34
../samples/decompilations/coreutils/lib libcoreutils_a-ino-map.c,0,0,0,0,559
../samples/decompilations/coreutils/lib libcoreutils_a-rand-isaac.c,0,0,4,4,2865
../samples/decompilations/coreutils/lib libcoreutils_a-sig2str.c,0,0,2,2,994
../samples/decompilations/coreutils/lib libcoreutils_a-areadlink-with-size.c,0,0,1,1,622
../samples/decompilations/coreutils/src yes.c,0,1,4,5,1826
../samples/decompilations/coreutils/src uptime.c,0,0,2,2,2564
../samples/decompilations/coreutils/lib libcoreutils_a-crc-x86_64-pclmul.c,17,0,3,20,3922
../samples/decompilations/coreutils/src show-date.c,0,0,0,0,264
../samples/decompilations/coreutils/gnulib-tests concat-filename.c,0,0,0,0,722
../samples/decompilations/coreutils/lib libcoreutils_a-copy-file-range.c,0,0,0,0,470
../samples/decompilations/coreutils/lib libcoreutils_a-timespec.c,0,0,0,0,300
../samples/decompilations/coreutils/lib libcoreutils_a-human.c,0,2,5,7,4795
../samples/decompilations/coreutils/src head.c,0,6,15,21,10897
../samples/decompilations/coreutils/lib malloc libcoreutils_a-scratch_buffer_grow.c,0,0,0,0,216
../samples/decompilations/coreutils/src libcksum_pclmul_a-cksum_pclmul.c,10,0,5,15,3090
../samples/decompilations/coreutils/lib libcoreutils_a-dirname-lgpl.c,0,0,2,2,477
../samples/decompilations/coreutils/src dircolors.c,1,6,7,14,6082
../samples/decompilations/coreutils/lib libcoreutils_a-di-set.c,0,0,0,0,1149
../samples/decompilations/coreutils/lib libcoreutils_a-fseeko.c,0,0,0,0,207
../samples/decompilations/coreutils/lib libcoreutils_a-printf-parse.c,0,3,13,16,5600
../samples/decompilations/coreutils/src mkfifo.c,0,1,3,4,2056
../samples/decompilations/coreutils/lib libcoreutils_a-base32.c,0,1,3,4,3972
../samples/decompilations/coreutils/lib libcoreutils_a-posixtm.c,0,1,2,3,1536
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-strlen.c,0,0,1,1,109
../samples/decompilations/coreutils/lib libcoreutils_a-propername-lite.c,0,0,0,0,125
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_emplace_enlarge.c,0,0,0,0,466
../samples/decompilations/coreutils/lib libcoreutils_a-xgetgroups.c,0,0,0,0,105
../samples/decompilations/coreutils/lib libcoreutils_a-dirname.c,0,0,0,0,81
../samples/decompilations/coreutils/lib libcoreutils_a-xmemcoll.c,0,0,0,0,416
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtoc32s-state.c,0,0,0,0,1
../samples/decompilations/coreutils/src timeout.c,0,1,2,3,5429
../samples/decompilations/coreutils/lib libcoreutils_a-strnumcmp.c,1,7,28,36,3046
../samples/decompilations/coreutils/src wc.c,1,5,11,17,15332
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_xdigit.c,0,0,0,0,171
../samples/decompilations/coreutils/lib libcoreutils_a-c32isalnum.c,0,0,0,0,34
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_at_failure.c,0,0,0,0,27
../samples/decompilations/coreutils/lib libcoreutils_a-set-acl.c,0,0,0,0,273
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtoc32s.c,0,0,0,0,53
../samples/decompilations/coreutils/lib libcoreutils_a-unicodeio.c,0,0,0,0,1545
../samples/decompilations/coreutils/lib libcoreutils_a-areadlink.c,0,0,0,0,150
../samples/decompilations/coreutils/lib libcoreutils_a-ldtoastr.c,0,1,0,1,698
../samples/decompilations/coreutils/lib libcoreutils_a-xgethostname.c,0,1,0,1,453
../samples/decompilations/coreutils/lib libcoreutils_a-malloca.c,0,0,0,0,368
../samples/decompilations/coreutils/lib libcoreutils_a-creat-safer.c,0,0,0,0,53
../samples/decompilations/coreutils/src chown-chgrp.c,0,0,0,0,1
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-chr.c,0,0,1,1,100
../samples/decompilations/coreutils/lib libcoreutils_a-xprintf.c,0,0,0,0,1269
../samples/decompilations/coreutils/src who.c,0,0,5,5,9082
../samples/decompilations/coreutils/lib libcoreutils_a-freadahead.c,0,0,0,0,141
../samples/decompilations/coreutils/src realpath.c,0,3,2,5,3249
../samples/decompilations/coreutils/lib libcoreutils_a-c32isalpha.c,0,0,0,0,34
../samples/decompilations/coreutils/lib libcoreutils_a-fseterr.c,0,0,0,0,35
../samples/decompilations/coreutils/lib libcoreutils_a-mbrtoc32.c,0,0,0,0,392
../samples/decompilations/coreutils/lib libcoreutils_a-write-any-file.c,0,0,0,0,75
../samples/decompilations/coreutils/lib libcoreutils_a-mbswidth.c,0,0,2,2,934
../samples/decompilations/coreutils/lib libcoreutils_a-hash-triple-simple.c,0,0,0,0,273
../samples/decompilations/coreutils/lib libcoreutils_a-mcel.c,0,0,0,0,1444
../samples/decompilations/coreutils/lib libcoreutils_a-mbszero.c,0,0,0,0,43
../samples/decompilations/coreutils/lib libcoreutils_a-c32ispunct.c,0,0,0,0,34
../samples/decompilations/coreutils/src sleep.c,0,0,2,2,2130
../samples/decompilations/coreutils/lib libcoreutils_a-btoc32.c,0,0,0,0,33
../samples/decompilations/coreutils/lib libcoreutils_a-fd-reopen.c,0,0,0,0,146
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_graph.c,0,0,0,0,217
../samples/decompilations/coreutils/gnulib-tests vma-iter.c,1,4,3,8,2109
../samples/decompilations/coreutils/lib libcoreutils_a-fd-safer.c,0,0,0,0,98
../samples/decompilations/coreutils/lib libcoreutils_a-sockets.c,0,0,0,0,36
../samples/decompilations/coreutils/src mkdir.c,0,0,3,3,2970
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-uctomb-aux.c,0,0,0,0,313
../samples/decompilations/coreutils/lib libcoreutils_a-long-options.c,0,0,0,0,961
../samples/decompilations/coreutils/src base64-basenc.c,0,2,7,9,4888
../samples/decompilations/coreutils/gnulib-tests getlocalename_l-unsafe.c,0,0,0,0,244
../samples/decompilations/coreutils/lib libcoreutils_a-c32isxdigit.c,0,0,0,0,34
../samples/decompilations/coreutils/src prog-fprintf.c,0,0,0,0,483
../samples/decompilations/coreutils/src expr.c,0,5,10,15,12409
../samples/decompilations/coreutils/lib libcoreutils_a-aszprintf.c,0,0,0,0,375
../samples/decompilations/coreutils/lib libcoreutils_a-full-read.c,0,0,1,1,196
../samples/decompilations/coreutils/gnulib-tests xconcat-filename.c,0,0,0,0,93
../samples/decompilations/coreutils/lib libcoreutils_a-i-ring.c,0,0,0,0,443
../samples/decompilations/coreutils/lib libcoreutils_a-af_alg.c,0,0,0,0,1
../samples/decompilations/coreutils/src comm.c,0,4,5,9,8177
../samples/decompilations/coreutils/src pwd.c,1,5,6,12,4549
../samples/decompilations/coreutils/lib libcoreutils_a-argmatch.c,0,1,4,5,1357
../samples/decompilations/coreutils/lib libcoreutils_a-xasprintf.c,0,0,0,0,390
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_lower.c,0,0,0,0,217
../samples/decompilations/coreutils/lib libcoreutils_a-exclude.c,1,11,9,21,5959
../samples/decompilations/coreutils/lib libcoreutils_a-fpurge.c,0,0,0,0,28
../samples/decompilations/coreutils/lib libcoreutils_a-root-dev-ino.c,0,0,0,0,178
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtowcs.c,0,1,1,2,839
../samples/decompilations/coreutils/lib libcoreutils_a-save-cwd.c,0,0,0,0,258
../samples/decompilations/coreutils/src echo.c,0,2,6,8,4068
../samples/decompilations/coreutils/gnulib-tests bench_md5-bench-md5.c,0,0,2,2,867
../samples/decompilations/coreutils/lib libcoreutils_a-chdir-long.c,0,1,1,2,1249
../samples/decompilations/coreutils/src cp.c,3,10,4,17,14599
../samples/decompilations/coreutils/lib libcoreutils_a-settime.c,0,0,0,0,215
../samples/decompilations/coreutils/src basenc-basenc.c,0,9,22,31,12043
../samples/decompilations/coreutils/lib libcoreutils_a-printf-frexpl.c,0,0,0,0,276
../samples/decompilations/coreutils/src sha1sum-digest.c,1,8,12,21,10757
../samples/decompilations/coreutils/lib libcoreutils_a-open-safer.c,0,0,0,0,170
../samples/decompilations/coreutils/lib libcoreutils_a-error.c,0,0,0,0,1648
../samples/decompilations/coreutils/gnulib-tests bench_sha1-bench-sha1.c,0,0,2,2,867
../samples/decompilations/coreutils/lib libcoreutils_a-c-strncasecmp.c,0,0,1,1,249
../samples/decompilations/coreutils/lib libcoreutils_a-getndelim2.c,0,1,1,2,1292
../samples/decompilations/coreutils/src truncate.c,0,1,3,4,4307
../samples/decompilations/coreutils/src env.c,2,3,13,18,10211
../samples/decompilations/coreutils/lib libcoreutils_a-time.c,0,0,0,0,198
../samples/decompilations/coreutils/src sha512sum-digest.c,1,8,12,21,10759
../samples/decompilations/coreutils/lib libcoreutils_a-xbinary-io.c,0,0,0,0,38
../samples/decompilations/coreutils/gnulib-tests unistr u32-set.c,0,0,1,1,211
../samples/decompilations/coreutils/lib libcoreutils_a-c32width.c,0,0,0,0,34
../samples/decompilations/coreutils/src false.c,0,0,1,1,1358
../samples/decompilations/coreutils/lib libcoreutils_a-c32_apply_type_test.c,0,0,0,0,40
../samples/decompilations/coreutils/src date.c,0,2,4,6,6269
../samples/decompilations/coreutils/lib libcoreutils_a-areadlinkat.c,0,0,0,0,63
../samples/decompilations/coreutils/src test.c,0,4,2,6,11136
../samples/decompilations/coreutils/src pinky.c,0,5,6,11,8098
../samples/decompilations/coreutils/src tac.c,0,5,7,12,5473
../samples/decompilations/coreutils/lib libcoreutils_a-asnprintf.c,0,0,0,0,132
../samples/decompilations/coreutils/src od.c,0,7,35,42,20254
../samples/decompilations/coreutils/src stat.c,3,1,10,14,17333
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-strcat.c,0,0,1,1,177
../samples/decompilations/coreutils/src readlink.c,0,0,3,3,2074
../samples/decompilations/coreutils/lib libcoreutils_a-imaxtostr.c,0,0,2,2,251
../samples/decompilations/coreutils/lib libcoreutils_a-filevercmp.c,1,1,6,8,2808
../samples/decompilations/coreutils/lib libcoreutils_a-stat-time.c,0,0,0,0,247
../samples/decompilations/coreutils/lib libcoreutils_a-c32islower.c,0,0,0,0,34
../samples/decompilations/coreutils/gnulib-tests localename-unsafe.c,0,0,0,0,452
../samples/decompilations/coreutils/src mknod.c,0,1,3,4,3330
../samples/decompilations/coreutils/src chmod.c,0,2,1,3,5568
../samples/decompilations/coreutils/lib libcoreutils_a-readtokens.c,0,2,2,4,1488
../samples/decompilations/coreutils/src libwc_avx2_a-wc_avx2.c,0,1,3,4,1994
../samples/decompilations/coreutils/lib libcoreutils_a-mini-gmp-gnulib.c,29,17,119,165,74180
../samples/decompilations/coreutils/lib libcoreutils_a-gettime.c,0,0,0,0,173
../samples/decompilations/coreutils/lib libcoreutils_a-canon-host.c,0,0,0,0,442
../samples/decompilations/coreutils/lib libcoreutils_a-memchr2.c,0,2,1,3,674
../samples/decompilations/coreutils/src shred.c,0,3,11,14,9413
../samples/decompilations/coreutils/lib libcoreutils_a-binary-io.c,0,0,0,0,17
../samples/decompilations/coreutils/lib libcoreutils_a-md5-stream.c,0,0,1,1,452
../samples/decompilations/coreutils/lib malloc libcoreutils_a-scratch_buffer_grow_preserve.c,0,0,0,0,332
../samples/decompilations/coreutils/src seq.c,0,2,16,18,11316
../samples/decompilations/coreutils/src du.c,0,4,5,9,11229
../samples/decompilations/coreutils/lib libcoreutils_a-float.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-setlocale_null.c,0,0,0,0,86
../samples/decompilations/coreutils/gnulib-tests ioctl.c,0,0,0,0,124
../samples/decompilations/coreutils/lib libcoreutils_a-vzprintf.c,0,0,0,0,47
../samples/decompilations/coreutils/gnulib-tests timespec-sub.c,0,0,0,0,270
../samples/decompilations/coreutils/gnulib-tests localename-table.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-c32isgraph.c,0,0,0,0,34
../samples/decompilations/coreutils/lib libcoreutils_a-qset-acl.c,0,0,0,0,141
