File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-uctomb-aux.c,0,0,0,0
../samples/decompilations/coreutils/src who.c,0,0,5,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtol-error.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-ldtoastr.c,0,1,0,1
../samples/decompilations/coreutils/src relpath.c,0,2,1,2
../samples/decompilations/coreutils/src b2sum-digest.c,1,5,16,6
../samples/decompilations/coreutils/src chown-chown.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests bench_crc-bench-crc.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-cycle-check.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbslen.c,0,1,0,1
../samples/decompilations/coreutils/src shuf.c,4,3,4,7
../samples/decompilations/coreutils/src ls-vdir.c,0,0,0,0
../samples/decompilations/coreutils/src seq.c,0,2,16,2
../samples/decompilations/coreutils/lib libcoreutils_a-exclude.c,1,11,9,12
../samples/decompilations/coreutils/src chown-chgrp.c,0,0,0,0
../samples/decompilations/coreutils/lib glthread libcoreutils_a-tls.c,0,0,0,0
../samples/decompilations/coreutils/src dircolors.c,1,6,7,7
../samples/decompilations/coreutils/src prog-fprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-modechange.c,0,4,5,4
../samples/decompilations/coreutils/lib libcoreutils_a-long-options.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-se-selinux.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-backup-find.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-nproc.c,0,3,0,3
../samples/decompilations/coreutils/lib libcoreutils_a-selinux-at.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xreadlink.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-openat-proc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-vsnzprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-sha256-stream.c,0,0,1,0
../samples/decompilations/coreutils/lib uniwidth libcoreutils_a-width.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mkancesdirs.c,0,1,2,1
../samples/decompilations/coreutils/lib libcoreutils_a-posixtm.c,0,1,2,1
../samples/decompilations/coreutils/src chroot.c,0,2,4,2
../samples/decompilations/coreutils/lib libcoreutils_a-fclose.c,0,0,0,0
../samples/decompilations/coreutils/src tail.c,3,20,22,23
../samples/decompilations/coreutils/src find-mount-point.c,0,0,0,0
../samples/decompilations/coreutils/src env.c,2,3,13,5
../samples/decompilations/coreutils/lib libcoreutils_a-openat-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbswidth.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-get-permissions.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-i-ring.c,0,0,0,0
../samples/decompilations/coreutils/src csplit.c,2,9,18,11
../samples/decompilations/coreutils/gnulib-tests localename-unsafe.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-human.c,0,2,5,2
../samples/decompilations/coreutils/lib libcoreutils_a-xbinary-io.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-base64.c,0,1,4,1
../samples/decompilations/coreutils/src lbracket.c,0,4,1,4
../samples/decompilations/coreutils/gnulib-tests bench_sha224-bench-sha224.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-fts.c,3,8,12,11
../samples/decompilations/coreutils/gnulib-tests bench_sha384-bench-sha384.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-memcmp2.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests c-strcasestr.c,2,2,15,4
../samples/decompilations/coreutils/lib libcoreutils_a-offtostr.c,0,0,2,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_finalize.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-dirname-lgpl.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-fsusage.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32tolower.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-di-set.c,0,0,0,0
../samples/decompilations/coreutils/src libcksum_pclmul_a-cksum_pclmul.c,10,0,5,10
../samples/decompilations/coreutils/lib libcoreutils_a-backupfile.c,0,2,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-fseterr.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-imaxtostr.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-priv-set.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-arpa_inet.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests strerror_r.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbszero.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-btoc32.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-openat-die.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-backup-rename.c,0,0,0,0
../samples/decompilations/coreutils/src chmod.c,0,2,1,2
../samples/decompilations/coreutils/lib libcoreutils_a-aszprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-reallocarray.c,0,0,0,0
../samples/decompilations/coreutils/src kill.c,1,0,4,1
../samples/decompilations/coreutils/lib libcoreutils_a-umaxtostr.c,0,0,1,0
../samples/decompilations/coreutils/src set-fields.c,0,3,4,3
../samples/decompilations/coreutils/lib libcoreutils_a-nl_langinfo.c,0,0,0,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-scratch_buffer_grow_preserve.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-md5.c,0,0,0,0
../samples/decompilations/coreutils/src basename.c,0,2,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-utimens.c,0,0,0,0
../samples/decompilations/coreutils/src sleep.c,0,0,2,0
../samples/decompilations/coreutils/src basenc-basenc.c,0,9,22,9
../samples/decompilations/coreutils/lib libcoreutils_a-freadseek.c,1,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-endian.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoul.c,0,1,7,1
../samples/decompilations/coreutils/lib libcoreutils_a-fseek.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-sha512-stream.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-close-stream.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-creat-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-gettime-res.c,0,1,2,1
../samples/decompilations/coreutils/src unexpand.c,0,0,7,0
../samples/decompilations/coreutils/lib libcoreutils_a-areadlink-with-size.c,0,0,1,0
../samples/decompilations/coreutils/src nproc.c,0,0,2,0
