File,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/des/ofb64enc.c,crypto/des/ofb64enc.c,openssl,crypto/des/ofb64enc.c,0,1,0,1,crypto/des/ofb64enc.c,crypto/des/ofb64enc.c,0,0,1,1,789,crypto/des/ofb64enc.c,2,0,1,3,609
crypto/des/fcrypt.c,crypto/des/fcrypt.c,openssl,crypto/des/fcrypt.c,4,0,0,4,crypto/des/fcrypt.c,crypto/des/fcrypt.c,0,0,2,2,2434,crypto/des/fcrypt.c,2,0,2,4,2336
crypto/des/cfb64ede.c,crypto/des/cfb64ede.c,openssl,crypto/des/cfb64ede.c,2,4,0,6,crypto/des/cfb64ede.c,crypto/des/cfb64ede.c,0,2,4,6,9074,crypto/des/cfb64ede.c,1,2,4,7,9071
crypto/des/set_key.c,crypto/des/set_key.c,openssl,crypto/des/set_key.c,4,0,0,4,crypto/des/set_key.c,crypto/des/set_key.c,0,0,2,2,2266,crypto/des/set_key.c,1,0,2,3,2118
crypto/des/ofb64ede.c,crypto/des/ofb64ede.c,openssl,crypto/des/ofb64ede.c,0,1,0,1,crypto/des/ofb64ede.c,crypto/des/ofb64ede.c,0,0,1,1,950,crypto/des/ofb64ede.c,2,0,1,3,770
crypto/ml_dsa/ml_dsa_key.c,crypto/ml_dsa/ml_dsa_key.c,openssl,crypto/ml_dsa/ml_dsa_key.c,0,0,0,0,crypto/ml_dsa/ml_dsa_key.c,crypto/ml_dsa/ml_dsa_key.c,0,0,11,11,9238,crypto/ml_dsa/ml_dsa_key.c,1,0,11,12,9044
crypto/poly1305/poly1305.c,crypto/poly1305/poly1305.c,openssl,crypto/poly1305/poly1305.c,0,3,0,3,crypto/poly1305/poly1305.c,crypto/poly1305/poly1305.c,0,0,2,2,1828,crypto/poly1305/poly1305.c,1,0,2,3,1756
crypto/aes/aes_ige.c,crypto/aes/aes_ige.c,openssl,crypto/aes/aes_ige.c,16,8,0,24,crypto/aes/aes_ige.c,crypto/aes/aes_ige.c,0,0,12,12,12424,crypto/aes/aes_ige.c,8,0,12,20,9944
crypto/deterministic_nonce.c,crypto/deterministic_nonce.c,openssl,crypto/deterministic_nonce.c,0,0,1,0,crypto/deterministic_nonce.c,crypto/deterministic_nonce.c,0,0,2,2,1691,crypto/deterministic_nonce.c,1,0,2,3,1534
crypto/hpke/hpke.c,crypto/hpke/hpke.c,openssl,crypto/hpke/hpke.c,2,0,0,2,crypto/hpke/hpke.c,crypto/hpke/hpke.c,1,0,0,1,18038,crypto/hpke/hpke.c,4,0,0,4,17967
crypto/asn1/asn_mime.c,crypto/asn1/asn_mime.c,openssl,crypto/asn1/asn_mime.c,11,6,1,17,crypto/asn1/asn_mime.c,crypto/asn1/asn_mime.c,1,24,7,32,16291,crypto/asn1/asn_mime.c,3,24,7,34,15235
crypto/cmac/cmac.c,crypto/cmac/cmac.c,openssl,crypto/cmac/cmac.c,3,2,0,5,crypto/cmac/cmac.c,crypto/cmac/cmac.c,0,0,6,6,5887,crypto/cmac/cmac.c,1,0,6,7,5839
crypto/ml_kem/ml_kem.c,crypto/ml_kem/ml_kem.c,openssl,crypto/ml_kem/ml_kem.c,17,1,21,18,crypto/ml_kem/ml_kem.c,crypto/ml_kem/ml_kem.c,0,4,64,68,137170,crypto/ml_kem/ml_kem.c,6,4,64,74,136836
crypto/params_from_text.c,crypto/params_from_text.c,openssl,crypto/params_from_text.c,2,0,0,2,crypto/params_from_text.c,crypto/params_from_text.c,0,0,3,3,3239,crypto/params_from_text.c,1,0,3,4,3169
crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,openssl,crypto/cmp/cmp_genm.c,5,0,0,5,crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,3,0,3,6,5703,crypto/cmp/cmp_genm.c,4,0,3,7,5576
crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,openssl,crypto/bn/bn_mul.c,5,1,2,6,crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,1,5,3,9,5704,crypto/bn/bn_mul.c,3,5,3,11,5478
crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,openssl,crypto/bn/bn_blind.c,1,0,1,1,crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,0,0,2,2,4345,crypto/bn/bn_blind.c,1,0,2,3,4315
crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,openssl,crypto/bn/bn_exp.c,37,4,0,41,crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,1,5,37,43,19145,crypto/bn/bn_exp.c,2,5,37,44,18745
crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,openssl,crypto/bn/rsaz_exp.c,3,1,0,4,crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,0,0,3,3,2985,crypto/bn/rsaz_exp.c,1,0,3,4,2755
crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,openssl,crypto/bn/rsaz_exp_x2.c,7,0,0,7,crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,4,1,6,11,5892,crypto/bn/rsaz_exp_x2.c,6,1,6,13,5537
crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,openssl,crypto/bn/bn_nist.c,4,0,0,4,crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,1,0,4,5,10982,crypto/bn/bn_nist.c,13,0,4,17,10586
crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,openssl,crypto/ec/curve448/scalar.c,13,1,0,14,crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,0,1,7,8,9679,crypto/ec/curve448/scalar.c,4,1,7,12,8339
crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,openssl,crypto/ec/curve448/f_generic.c,5,1,0,6,crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,0,1,9,10,6433,crypto/ec/curve448/f_generic.c,1,1,9,11,6437
crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,openssl,crypto/ec/ec2_smpl.c,1,0,2,1,crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,0,0,3,3,12752,crypto/ec/ec2_smpl.c,4,0,3,7,11042
crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,openssl,crypto/ec/ecp_nistz256.c,21,1,0,22,crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,1,3,18,22,13713,crypto/ec/ecp_nistz256.c,7,3,18,28,13240
