File,for/loops,while/loops,do-while/loops,total
crypto/bf/libcrypto-lib-bf_enc.c,2,0,2,4
scene/3d/world_environment.c,4,1,9,14
crypto/x509/libcrypto-shlib-v3_sxnet.c,0,0,0,0
crypto/bio/libcrypto-shlib-bio_print.c,0,0,0,0
crypto/x509/libcrypto-lib-x509_cmp.c,0,0,0,0
crypto/ec/libcrypto-shlib-ecx_meth.c,0,0,0,0
src/rm.c,0,0,0,0
thirdparty/libvorbis/registry.c,0,0,0,0
core/io/translation_loader_po.c,9,11,16,36
crypto/rc2/libcrypto-shlib-rc2cfb64.c,0,0,0,0
crypto/libcrypto-shlib-x86_64cpuid.c,2,2,10,14
editor/gui/editor_file_dialog.c,34,47,107,188
crypto/seed/libcrypto-shlib-seed_cbc.c,0,0,0,0
modules/dds/texture_loader_dds.c,12,1,26,39
providers/libcrypto-lib-nullprov.c,0,0,0,0
modules/openxr/extensions/openxr_fb_foveation_extension.c,1,1,8,10
core/math/quaternion.c,1,0,0,1
crypto/des/libcrypto-lib-rand_key.c,0,0,0,0
thirdparty/freetype/src/base/ftdebug.c,0,0,0,0
apps/openssl-bin-rsautl.c,0,0,0,0
thirdparty/pcre2/src/pcre2_tables_32.c,0,0,0,0
ssl/quic/libssl-shlib-quic_sstream.c,0,0,0,0
drivers/gles3/storage/particles_storage.c,20,42,69,131
test/helpers/cmp_client_test-bin-cmp_testlib.c,0,0,0,0
modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110
editor/gui/editor_scene_tabs.c,11,12,27,50
scene/2d/physics/shape_cast_2d.c,7,9,23,39
crypto/libcrypto-lib-mem.c,2,0,0,2
editor/plugins/polygon_3d_editor_plugin.c,16,8,23,47
providers/liblegacy-lib-prov_running.c,0,0,0,0
lib/libcoreutils_a-mbsrtowcs-state.c,0,0,0,0
thirdparty/icu4c/common/ucnvisci.c,0,0,0,0
servers/audio/effects/audio_effect_distortion.c,8,9,20,37
test/buildtest_c_hmac-bin-buildtest_hmac.c,0,0,0,0
providers/implementations/digests/libdefault-lib-sm3_prov.c,1,0,0,1
core/io/image.c,13,24,389,426
servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,23,106,274,403
thirdparty/meshoptimizer/overdrawoptimizer.c,0,0,0,0
thirdparty/icu4c/common/uset.c,0,0,0,0
apps/lib/ca_internals_test-bin-app_x509.c,0,0,0,0
lib/libcoreutils_a-c-strtod.c,0,0,0,0
editor/plugins/gizmos/marker_3d_gizmo_plugin.c,0,0,0,0
fuzz/cms-test-bin-cms.c,0,0,0,0
crypto/x509/libcrypto-shlib-v3_no_rev_avail.c,0,0,0,0
crypto/slh_dsa/libcrypto-shlib-slh_hypertree.c,0,0,0,0
scene/resources/2d/world_boundary_shape_2d.c,5,1,14,20
scene/animation/animation_node_extension.c,0,0,0,0
ssl/record/methods/libssl-shlib-tls_common.c,4,6,18,28
thirdparty/icu4c/common/uinit.c,0,0,0,0
fuzz/hashtable-test-bin-fuzz_rand.c,0,0,0,0
crypto/x509/libcrypto-lib-v3_admis.c,0,0,0,0
thirdparty/libktx/lib/dfdutils/createdfd.c,1,1,11,13
crypto/ec/libcrypto-lib-ec_pmeth.c,0,0,0,0
crypto/x509/libcrypto-lib-v3_sda.c,0,0,0,0
thirdparty/icu4c/common/uloc_keytype.c,1,7,11,19
modules/basis_universal/register_types.c,0,0,0,0
editor/plugins/gizmos/joint_3d_gizmo_plugin.c,20,9,12,41
thirdparty/volk/volk.c,2,0,0,2
crypto/ts/libcrypto-shlib-ts_conf.c,0,0,0,0
providers/implementations/ciphers/libdefault-lib-cipher_tdes.c,0,0,0,0
lib/libcoreutils_a-qcopy-acl.c,0,0,0,0
crypto/property/libcrypto-lib-property_string.c,4,0,0,4
crypto/ec/libcrypto-lib-eck_prn.c,0,0,0,0
modules/godot_physics_3d/godot_collision_solver_3d_sat.c,0,0,0,0
crypto/srp/libcrypto-shlib-srp_vfy.c,0,0,0,0
servers/rendering/renderer_rd/uniform_set_cache_rd.c,7,1,18,26
crypto/rsa/libcrypto-lib-rsa_sign.c,1,0,0,1
thirdparty/libwebp/src/dsp/lossless_enc_sse2.c,9,1,35,45
crypto/x509/libcrypto-lib-v3_bitst.c,0,0,0,0
src/pathchk.c,0,0,0,0
thirdparty/mbedtls/library/pk.c,9,0,0,9
crypto/modes/libcrypto-lib-cfb128.c,0,0,0,0
crypto/ec/libcrypto-lib-ec_kmeth.c,1,0,0,1
modules/gltf/skin_tool.c,24,53,118,195
servers/audio/effects/audio_effect_reverb.c,7,1,29,37
thirdparty/embree/kernels/common/alloc.c,6,11,26,43
editor/plugins/gizmos/light_3d_gizmo_plugin.c,0,0,0,0
thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,28,43,108,179
apps/lib/ca_internals_test-bin-engine.c,0,0,0,0
thirdparty/libwebp/src/enc/backward_references_enc.c,0,0,0,0
thirdparty/pcre2/src/pcre2_extuni_32.c,0,0,0,0
crypto/libcrypto-shlib-cryptlib.c,0,0,0,0
thirdparty/harfbuzz/src/hb-ot-shaper-indic-table.c,1,0,0,1
crypto/engine/libcrypto-lib-eng_fat.c,0,0,0,0
thirdparty/jpeg-compressor/jpgd.c,15,18,86,119
src/chown-core.c,0,0,0,0
core/io/http_client_tcp.c,5,3,26,34
providers/implementations/keymgmt/libdefault-lib-dsa_kmgmt.c,0,0,0,0
thirdparty/astcenc/astcenc_color_unquantize.c,0,0,0,0
engines/dasync-dso-e_dasync.c,19,1,0,20
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,3
crypto/des/libcrypto-shlib-ofb64ede.c,2,0,1,3
fuzz/quic-lcidm-test-bin-test-corpus.c,0,0,0,0
providers/implementations/ciphers/liblegacy-lib-cipher_rc2.c,0,0,0,0
crypto/x509/libcrypto-shlib-x509spki.c,0,0,0,0
thirdparty/icu4c/common/charstr.c,0,0,0,0
crypto/evp/libcrypto-shlib-c_alld.c,0,0,0,0
thirdparty/libwebp/src/enc/picture_enc.c,0,0,0,0
modules/gdscript/gdscript_function.c,12,12,60,84
lib/libcoreutils_a-memset_explicit.c,0,0,0,0
crypto/aria/libcrypto-shlib-aria.c,0,0,0,0
crypto/engine/libcrypto-shlib-eng_fat.c,0,0,0,0
crypto/rsa/libcrypto-lib-rsa_gen.c,7,2,2,11
crypto/x509/libcrypto-lib-x_ietfatt.c,0,0,0,0
thirdparty/graphite/src/gr_face.c,1,0,2,3
crypto/modes/libcrypto-lib-cts128.c,0,0,0,0
scene/resources/sprite_frames.c,13,39,108,160
lib/libcoreutils_a-posix_memalign.c,0,0,0,0
crypto/evp/libcrypto-lib-skeymgmt_meth.c,6,1,0,7
src/set-fields.c,0,0,0,0
lib/libcoreutils_a-allocator.c,0,0,0,0
thirdparty/libwebp/sharpyuv/sharpyuv.c,0,0,0,0
crypto/dh/libcrypto-lib-dh_kdf.c,0,0,0,0
thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterBinning.c,8,0,10,18
lib/libcoreutils_a-xstrtol.c,0,0,0,0
src/touch.c,0,0,0,0
test/helpers/quicapitest-bin-quictestlib.c,2,1,11,14
core/io/file_access_compressed.c,5,2,7,14
thirdparty/mbedtls/library/x509write_csr.c,0,0,0,0
crypto/libcrypto-shlib-param_build_set.c,0,0,0,0
platform/linuxbsd/freedesktop_screensaver.c,0,0,0,0
core/variant/variant.c,2,40,115,157
ssl/record/methods/libssl-shlib-dtls_meth.c,4,2,1,7
modules/webrtc/webrtc_data_channel.c,4,0,21,25
thirdparty/openxr/src/loader/loader_logger.c,10,16,17,43
providers/implementations/asymciphers/libdefault-lib-sm2_enc.c,0,0,0,0
thirdparty/embree/kernels/builders/primrefgen.c,0,9,38,47
thirdparty/mbedtls/library/x509_csr.c,0,0,0,0
crypto/dh/libcrypto-shlib-dh_pmeth.c,0,0,0,0
crypto/bn/libcrypto-lib-bn_div.c,0,0,0,0
crypto/bn/libcrypto-lib-rsaz-4k-avx512.c,6,0,2,8
modules/navigation/nav_agent.c,2,0,0,2
crypto/modes/libcrypto-lib-ofb128.c,0,0,0,0
thirdparty/icu4c/common/propsvec.c,0,0,0,0
crypto/rsa/libcrypto-shlib-rsa_pmeth.c,0,0,0,0
thirdparty/mbedtls/library/entropy_poll.c,0,0,0,0
crypto/camellia/libcrypto-lib-cmll_misc.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleAntiRollBar.c,0,0,0,0
thirdparty/meshoptimizer/vcacheoptimizer.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Geometry/OrientedBox.c,1,0,5,6
thirdparty/icu4c/common/umath.c,0,0,0,0
thirdparty/freetype/src/cache/ftcache.c,1,15,26,42
modules/multiplayer/scene_rpc_interface.c,0,0,0,0
src/kill.c,0,0,0,0
crypto/x509/libcrypto-shlib-pcy_node.c,0,0,0,0
editor/create_dialog.c,20,51,117,188
test/testutil/libtestutil-lib-output.c,0,0,0,0
crypto/kdf/libcrypto-shlib-kdf_err.c,0,0,0,0
modules/jolt_physics/shapes/jolt_world_boundary_shape_3d.c,1,0,3,4
thirdparty/libwebp/src/dec/alpha_dec.c,0,0,0,0
thirdparty/harfbuzz/src/hb-ucd.c,0,0,0,0
crypto/asn1/libcrypto-shlib-a_digest.c,0,0,0,0
thirdparty/icu4c/common/filteredbrk.c,17,3,10,30
crypto/libcrypto-shlib-passphrase.c,0,0,0,0
thirdparty/icu4c/common/umutex.c,1,2,1,4
platform/linuxbsd/speechd-so_wrap.c,0,0,0,0
fuzz/acert-test-bin-test-corpus.c,0,0,0,0
crypto/bio/libcrypto-lib-bss_null.c,0,0,0,0
thirdparty/minizip/ioapi.c,5,0,0,5
test/keymgmt_internal_test-bin-keymgmt_internal_test.c,0,0,0,0
crypto/asn1/libcrypto-lib-n_pkey.c,0,0,0,0
fuzz/cmp-test-bin-cmp.c,0,0,0,0
thirdparty/icu4c/common/rbbistbl.c,0,0,0,0
editor/filesystem_dock.c,44,99,269,412
thirdparty/thorvg/src/renderer/sw_engine/tvgSwRenderer.c,2,2,15,19
thirdparty/astcenc/astcenc_quantization.c,0,0,0,0
crypto/cmp/libcrypto-shlib-cmp_genm.c,5,0,3,8
crypto/bn/libcrypto-shlib-rsaz-2k-avxifma.c,0,0,0,0
src/factor.c,0,0,0,0
providers/libcrypto-shlib-prov_running.c,0,0,0,0
modules/svg/register_types.c,0,0,0,0
crypto/asn1/libcrypto-lib-bio_asn1.c,0,0,0,0
crypto/hmac/libcrypto-shlib-hmac.c,0,0,0,0
src/sync.c,0,0,0,0
test/quic_record_test-bin-quic_record_test.c,0,0,0,0
crypto/evp/libcrypto-lib-e_old.c,0,0,0,0
lib/libcoreutils_a-inttostr.c,0,0,0,0
crypto/modes/libcrypto-lib-cbc128.c,2,0,3,5
modules/camera/register_types.c,0,0,0,0
ssl/quic/libssl-shlib-quic_channel.c,16,4,10,30
crypto/evp/libcrypto-shlib-skeymgmt_meth.c,6,1,0,7
lib/libcoreutils_a-xgetcwd.c,0,0,0,0
modules/godot_physics_2d/godot_collision_object_2d.c,2,4,6,12
servers/rendering/renderer_rd/effects/sort_effects.c,0,0,0,0
thirdparty/zlib/inffast.c,0,0,0,0
modules/tga/image_loader_tga.c,8,5,14,27
crypto/slh_dsa/libcrypto-lib-slh_wots.c,4,0,9,13
crypto/evp/libcrypto-lib-signature.c,10,1,2,13
modules/openxr/extensions/platform/openxr_vulkan_extension.c,0,0,0,0
test/pairwise_fail_test-bin-pairwise_fail_test.c,0,0,0,0
crypto/asn1/asn1_time_test-bin-a_time.c,0,0,0,0
lib/libcoreutils_a-dup-safer-flag.c,0,0,0,0
ssl/libssl-shlib-ssl_conf.c,1,1,8,10
scene/3d/physics/character_body_3d.c,17,8,32,57
core/object/undo_redo.c,6,9,41,56
modules/openxr/action_map/openxr_action_map.c,5,3,31,39
thirdparty/freetype/src/base/ftpatent.c,0,0,0,0
crypto/encode_decode/libcrypto-shlib-encoder_lib.c,0,0,0,0
test/constant_time_test-bin-constant_time_test.c,0,0,0,0
providers/implementations/keymgmt/libdefault-lib-ml_dsa_kmgmt.c,0,0,0,0
modules/upnp/upnp_miniupnp.c,7,3,13,23
test/buildtest_c_types-bin-buildtest_types.c,0,0,0,0
providers/implementations/ciphers/libdefault-lib-cipher_aes_cbc_hmac_sha256_hw.c,11,3,7,21
ssl/quic/libssl-lib-quic_tls_api.c,7,1,0,8
test/ext_internal_test-bin-ext_internal_test.c,0,0,0,0
scene/gui/button.c,6,2,10,18
modules/enet/enet_packet_peer.c,4,1,29,34
thirdparty/misc/fastlz.c,0,0,0,0
ssl/record/libssl-shlib-rec_layer_s3.c,7,2,10,19
thirdparty/glslang/SPIRV/InReadableOrder.c,4,5,3,12
thirdparty/icu4c/common/ucnv_io.c,0,0,0,0
providers/implementations/ciphers/libdefault-lib-cipher_aes_ccm.c,0,0,0,0
crypto/slh_dsa/libcrypto-shlib-slh_dsa.c,0,0,0,0
editor/debugger/editor_expression_evaluator.c,10,10,22,42
core/object/worker_thread_pool.c,14,20,78,112
thirdparty/libvorbis/psy.c,5,15,38,58
thirdparty/graphite/src/gr_slot.c,0,0,0,0
core/io/packed_data_container.c,8,6,69,83
crypto/encode_decode/libcrypto-lib-decoder_pkey.c,5,1,1,7
crypto/bio/libcrypto-shlib-bf_buff.c,0,0,0,0
lib/libcoreutils_a-mountlist.c,0,0,0,0
crypto/dso/libcrypto-lib-dso_win32.c,0,0,0,0
test/quic_tserver_test-bin-quic_tserver_test.c,0,0,0,0
providers/common/der/libcommon-lib-der_ec_sig.c,0,0,0,0
thirdparty/icu4c/common/resbund.c,2,0,0,2
crypto/bio/libcrypto-lib-bss_file.c,0,0,0,0
editor/gui/editor_validation_panel.c,11,6,28,45
crypto/evp/libcrypto-shlib-evp_lib.c,2,0,0,2
crypto/cms/libcrypto-shlib-cms_lib.c,0,0,0,0
thirdparty/meshoptimizer/allocator.c,0,0,0,0
crypto/evp/libcrypto-lib-e_rc2.c,0,0,0,0
test/packettest-bin-packettest.c,0,0,0,0
modules/openxr/editor/openxr_select_runtime.c,8,2,20,30
drivers/coremidi/midi_driver_coremidi.c,0,0,0,0
fuzz/x509-test-bin-x509.c,0,0,0,0
src/dd.c,0,0,0,0
thirdparty/msdfgen/core/msdf-error-correction.c,0,0,0,0
scene/gui/spin_box.c,14,10,18,42
providers/implementations/digests/libdefault-lib-sha3_prov.c,0,0,0,0
thirdparty/mbedtls/library/sha256.c,6,0,10,16
crypto/sha/libcrypto-lib-sha256-mb-x86_64.c,0,0,0,0
thirdparty/libtheora/quant.c,0,0,0,0
crypto/ec/libcrypto-shlib-ec_kmeth.c,1,0,0,1
modules/godot_physics_3d/godot_soft_body_3d.c,16,12,68,96
scene/resources/shader_include.c,7,4,18,29
test/siphash_internal_test-bin-siphash_internal_test.c,0,0,0,0
crypto/evp/libcrypto-lib-e_chacha20_poly1305.c,3,2,5,10
providers/implementations/ciphers/libdefault-lib-cipher_aria_ccm.c,0,0,0,0
thirdparty/libwebp/src/dec/idec_dec.c,1,0,3,4
thirdparty/libwebp/src/dsp/ssim.c,0,0,0,0
lib/libcoreutils_a-c-strcasecmp.c,0,0,0,0
ssl/quic/libssl-shlib-quic_rcidm.c,16,3,1,20
crypto/sha/libcrypto-shlib-sha1-x86_64.c,0,0,0,0
scene/gui/color_rect.c,2,0,3,5
ssl/quic/libssl-lib-quic_reactor.c,0,0,0,0
scene/resources/style_box.c,8,2,22,32
scene/2d/physics/physics_body_2d.c,10,1,14,25
thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMean.c,1,0,2,3
modules/ktx/texture_loader_ktx.c,9,0,7,16
ssl/quic/libssl-shlib-quic_fc.c,1,0,0,1
test/quic_cfq_test-bin-quic_cfq_test.c,0,0,0,0
test/recordlentest-bin-recordlentest.c,0,0,0,0
src/blake2/cksum-b2sum.c,0,0,0,0
modules/multiplayer/multiplayer_debugger.c,13,12,40,65
modules/msdfgen/register_types.c,0,0,0,0
fuzz/decoder-test-bin-fuzz_rand.c,0,0,0,0
modules/tga/register_types.c,0,0,0,0
test/testutil/libtestutil-lib-driver.c,0,0,0,0
test/ffc_internal_test-bin-ffc_internal_test.c,0,0,0,0
crypto/x509/libcrypto-lib-t_x509.c,0,0,0,0
providers/implementations/macs/libdefault-lib-kmac_prov.c,0,0,0,0
crypto/dsa/libcrypto-shlib-dsa_asn1.c,0,0,0,0
crypto/ec/libcrypto-shlib-ec_pmeth.c,0,0,0,0
thirdparty/icu4c/common/ustrenum.c,4,0,0,4
lib/libcoreutils_a-fprintftime.c,0,0,0,0
ssl/libssl-shlib-ssl_cert_comp.c,0,0,0,0
crypto/evp/libcrypto-lib-p_seal.c,0,0,0,0
crypto/cast/libcrypto-lib-c_cfb64.c,0,0,0,0
core/string/translation.c,4,10,44,58
test/afalgtest-bin-afalgtest.c,0,0,0,0
test/buildtest_c_cast-bin-buildtest_cast.c,0,0,0,0
thirdparty/icu4c/common/dictbe.c,10,16,40,66
modules/godot_physics_3d/godot_body_3d.c,4,1,24,29
ssl/quic/libssl-shlib-quic_trace.c,1,0,9,10
providers/implementations/kem/libdefault-lib-ml_kem_kem.c,0,0,0,0
thirdparty/clipper2/src/clipper.engine.c,27,94,206,327
editor/animation_track_editor.c,80,139,549,768
lib/libcoreutils_a-xdectoumax.c,0,0,0,0
src/cksum-cksum.c,0,0,0,0
modules/openxr/scene/openxr_composition_layer_quad.c,12,2,6,20
test/endecoder_legacy_test-bin-endecoder_legacy_test.c,0,0,0,0
thirdparty/icu4c/common/ucnvdisp.c,0,0,0,0
thirdparty/graphite/src/Segment.c,7,3,23,33
scene/2d/parallax_background.c,5,1,19,25
crypto/evp/libcrypto-lib-c_allc.c,0,0,0,0
crypto/dsa/libcrypto-lib-dsa_ameth.c,0,0,0,0
src/ls-ls.c,0,0,0,0
lib/libcoreutils_a-randperm.c,0,0,0,0
scene/main/instance_placeholder.c,12,3,16,31
crypto/des/libcrypto-lib-ofb64ede.c,2,0,1,3
thirdparty/jolt_physics/Jolt/Physics/Body/MotionProperties.c,3,0,0,3
crypto/cms/libcrypto-lib-cms_lib.c,0,0,0,0
test/poly1305_internal_test-bin-poly1305_internal_test.c,0,0,0,0
lib/libcoreutils_a-copy-acl.c,0,0,0,0
thirdparty/libwebp/src/utils/random_utils.c,0,0,0,0
test/bio_addr_test-bin-bio_addr_test.c,0,0,0,0
crypto/x509/libcrypto-lib-x_x509.c,0,0,0,0
thirdparty/mbedtls/library/x509_crl.c,0,0,0,0
thirdparty/libpng/intel/filter_sse2_intrinsics.c,4,0,6,10
modules/openxr/extensions/openxr_eye_gaze_interaction.c,0,0,0,0
thirdparty/icu4c/common/ures_cnv.c,0,0,0,0
scene/gui/panel_container.c,9,2,7,18
thirdparty/icu4c/common/unistr_titlecase_brkiter.c,0,0,0,0
crypto/pem/libcrypto-lib-pvkfmt.c,3,0,0,3
