File,for/loops,while/loops,do-while/loops,total
crypto/sha/libcrypto-lib-sha256-mb-x86_64.c,0,1,18,19
test/siphash_internal_test-bin-siphash_internal_test.c,0,0,1,1
crypto/evp/libcrypto-lib-e_chacha20_poly1305.c,0,2,5,7
ssl/quic/libssl-shlib-quic_rcidm.c,0,3,1,4
crypto/sha/libcrypto-shlib-sha1-x86_64.c,0,3,5,8
ssl/quic/libssl-lib-quic_reactor.c,0,3,1,4
test/quic_cfq_test-bin-quic_cfq_test.c,0,2,9,11
test/recordlentest-bin-recordlentest.c,1,0,1,2
fuzz/decoder-test-bin-fuzz_rand.c,0,0,1,1
test/testutil/libtestutil-lib-driver.c,0,2,10,12
crypto/x509/libcrypto-lib-t_x509.c,0,3,8,11
providers/implementations/macs/libdefault-lib-kmac_prov.c,0,0,3,3
crypto/evp/libcrypto-lib-p_seal.c,0,0,1,1
crypto/cast/libcrypto-lib-c_cfb64.c,0,0,2,2
ssl/quic/libssl-shlib-quic_trace.c,0,0,9,9
test/endecoder_legacy_test-bin-endecoder_legacy_test.c,0,0,8,8
crypto/des/libcrypto-lib-ofb64ede.c,0,0,1,1
crypto/cms/libcrypto-lib-cms_lib.c,1,1,3,5
test/poly1305_internal_test-bin-poly1305_internal_test.c,1,0,1,2
crypto/rsa/libcrypto-shlib-rsa_sp800_56b_gen.c,0,0,3,3
ssl/quic/libssl-lib-quic_txp.c,3,1,13,17
crypto/asn1/libcrypto-shlib-tasn_dec.c,0,3,10,13
crypto/sm3/libcrypto-shlib-sm3.c,0,0,4,4
crypto/bn/libcrypto-lib-bn_ctx.c,0,1,4,5
crypto/bn/libcrypto-lib-bn_recp.c,0,1,0,1
crypto/modes/libcrypto-lib-xts128gb.c,0,0,1,1
test/ssl_test-bin-ssl_test.c,2,1,0,3
crypto/evp/libcrypto-shlib-mac_meth.c,0,0,1,1
fuzz/ml-kem-test-bin-ml-kem.c,0,0,1,1
crypto/bio/libcrypto-shlib-bss_fd.c,0,1,0,1
crypto/des/libcrypto-lib-set_key.c,0,0,2,2
providers/implementations/digests/libdefault-lib-blake2b_prov.c,2,0,1,3
crypto/rsa/libcrypto-lib-rsa_oaep.c,0,0,8,8
crypto/libcrypto-lib-provider_core.c,3,1,18,22
test/helpers/quic_multistream_test-bin-pktsplitbio.c,0,0,3,3
crypto/x509/libcrypto-shlib-x509cset.c,0,1,0,1
crypto/ocsp/libcrypto-shlib-ocsp_ext.c,2,0,0,2
crypto/des/liblegacy-lib-fcrypt_b.c,0,0,1,1
crypto/err/libcrypto-shlib-err_prn.c,1,0,3,4
crypto/x509/libcrypto-lib-x_name.c,5,1,5,11
crypto/ts/libcrypto-shlib-ts_rsp_sign.c,1,0,3,4
crypto/sm4/libcrypto-lib-sm4.c,0,0,1,1
crypto/evp/libcrypto-shlib-e_aes_cbc_hmac_sha1.c,5,2,7,14
crypto/pem/libcrypto-shlib-pem_lib.c,0,1,8,9
crypto/async/libcrypto-shlib-async.c,0,3,4,7
ssl/rio/libssl-shlib-poll_immediate.c,0,2,11,13
crypto/asn1/libcrypto-shlib-asn_moid.c,0,3,1,4
fuzz/quic-client-test-bin-fuzz_rand.c,0,0,1,1
apps/openssl-bin-skeyutl.c,0,0,2,2
crypto/cast/libcrypto-shlib-c_enc.c,0,0,2,2
crypto/store/libcrypto-shlib-store_result.c,0,1,1,2
providers/libcrypto-lib-baseprov.c,0,1,1,2
crypto/x509/libcrypto-shlib-x_ietfatt.c,2,1,0,3
crypto/evp/libcrypto-shlib-encode.c,0,3,5,8
crypto/asn1/libcrypto-lib-f_int.c,0,0,4,4
crypto/x509/libcrypto-lib-v3_cpols.c,4,3,1,8
crypto/store/libcrypto-shlib-store_meth.c,0,1,0,1
crypto/x509/libcrypto-shlib-v3_purp.c,1,5,1,7
crypto/x509/libcrypto-lib-v3_aaa.c,1,0,2,3
crypto/evp/libcrypto-lib-e_seed.c,0,0,4,4
providers/implementations/macs/libdefault-lib-poly1305_prov.c,1,0,0,1
ssl/statem/libssl-shlib-statem_lib.c,4,2,12,18
test/helpers/quicfaultstest-bin-pktsplitbio.c,0,0,3,3
crypto/bn/libcrypto-shlib-rsaz-x86_64.c,0,0,6,6
providers/implementations/rands/libdefault-lib-test_rng.c,0,0,2,2
ssl/quic/libssl-shlib-quic_obj.c,0,1,2,3
crypto/engine/libcrypto-lib-tb_dh.c,1,0,0,1
crypto/bn/libcrypto-lib-x86_64-mont5.c,9,10,22,41
crypto/ec/libcrypto-lib-ecx_meth.c,2,0,0,2
crypto/asn1/libcrypto-lib-tasn_utl.c,0,0,1,1
providers/implementations/ciphers/liblegacy-lib-cipher_seed_hw.c,0,0,4,4
ssl/quic/libssl-lib-quic_cfq.c,0,4,2,6
crypto/ec/libcrypto-lib-curve25519.c,1,2,38,41
crypto/ml_dsa/libcrypto-lib-ml_dsa_ntt.c,0,0,8,8
crypto/des/libcrypto-shlib-set_key.c,0,0,2,2
crypto/aes/libcrypto-shlib-aes_ige.c,0,0,12,12
crypto/bio/libcrypto-lib-bio_lib.c,0,3,7,10
crypto/cmp/libcrypto-shlib-cmp_vfy.c,2,1,3,6
crypto/modes/libcrypto-shlib-aesni-gcm-x86_64.c,40,0,0,40
crypto/ocsp/libcrypto-lib-ocsp_cl.c,0,0,1,1
crypto/bn/libcrypto-lib-bn_sqr.c,0,0,2,2
crypto/x509/libcrypto-shlib-v3_crld.c,3,2,4,9
apps/openssl-bin-fipsinstall.c,6,0,2,8
test/radix/quic_radix_test-bin-quic_radix.c,6,4,5,15
crypto/evp/libcrypto-lib-pmeth_lib.c,0,2,0,2
crypto/des/libcrypto-shlib-rand_key.c,0,0,1,1
crypto/bn/libcrypto-shlib-bn_shift.c,0,0,4,4
crypto/evp/libcrypto-shlib-evp_cnf.c,0,1,0,1
crypto/x509/libcrypto-lib-x509name.c,0,0,3,3
crypto/ml_dsa/libcrypto-lib-ml_dsa_sample.c,1,2,5,8
crypto/asn1/libcrypto-shlib-asn1_gen.c,1,2,4,7
providers/common/libdefault-lib-provider_util.c,0,0,1,1
test/ml_dsa_test-bin-ml_dsa_test.c,1,1,1,3
crypto/x509/libcrypto-shlib-v3_akid.c,0,1,1,2
apps/lib/ca_internals_test-bin-app_provider.c,0,1,1,2
crypto/asn1/libcrypto-lib-t_bitst.c,0,1,1,2
crypto/bn/libcrypto-lib-bn_rsa_fips186_4.c,0,3,0,3
apps/openssl-bin-srp.c,6,1,5,12
test/x509_load_cert_file_test-bin-x509_load_cert_file_test.c,1,0,0,1
ssl/libssl-shlib-ssl_sess.c,2,3,5,10
fuzz/pem-test-bin-test-corpus.c,0,1,1,2
test/bioprinttest-bin-bioprinttest.c,0,1,3,4
crypto/evp/libcrypto-shlib-evp_rand.c,0,2,1,3
crypto/x509/libcrypto-lib-x509_vfy.c,9,8,21,38
crypto/evp/libcrypto-lib-kem.c,0,0,2,2
crypto/ec/libcrypto-shlib-ecx_backend.c,1,0,0,1
crypto/rc2/libcrypto-lib-rc2cfb64.c,0,0,2,2
crypto/cms/libcrypto-shlib-cms_kari.c,1,0,0,1
ssl/statem/libssl-lib-extensions_clnt.c,6,3,8,17
crypto/asn1/libcrypto-lib-tasn_new.c,0,0,1,1
fuzz/v3name-test-bin-test-corpus.c,0,1,1,2
test/helpers/quic_srt_gen_test-bin-noisydgrambio.c,1,2,6,9
ssl/libssl-shlib-ssl_mcnf.c,0,0,1,1
test/helpers/ssl_test_ctx_test-bin-ssl_test_ctx.c,0,3,1,4
crypto/des/libcrypto-shlib-xcbc_enc.c,0,0,2,2
crypto/sha/libcrypto-shlib-sha512-x86_64.c,0,0,12,12
crypto/x509/libcrypto-shlib-v3_bcons.c,0,1,0,1
crypto/x509/libcrypto-lib-v3_extku.c,0,1,1,2
crypto/libcrypto-lib-context.c,1,0,0,1
crypto/bn/libcrypto-lib-bn_mont.c,0,0,4,4
test/helpers/dtls_mtu_test-bin-ssltestlib.c,4,7,12,23
crypto/cmp/libcrypto-lib-cmp_msg.c,0,3,0,3
ssl/libssl-lib-d1_srtp.c,0,2,0,2
crypto/rsa/libcrypto-shlib-rsa_gen.c,4,2,2,8
crypto/bio/libcrypto-shlib-bss_bio.c,0,2,1,3
crypto/x509/libcrypto-shlib-x509_vpm.c,1,0,0,1
crypto/evp/libcrypto-lib-e_idea.c,0,0,4,4
crypto/aes/libcrypto-shlib-aesni-sha1-x86_64.c,0,3,2,5
providers/implementations/ciphers/libcommon-lib-ciphercommon_hw.c,0,1,5,6
crypto/cast/libcrypto-shlib-c_cfb64.c,0,0,2,2
test/quic_fc_test-bin-quic_fc_test.c,2,0,0,2
ssl/quic/libssl-shlib-quic_sf_list.c,0,3,3,6
ssl/libssl-shlib-d1_srtp.c,0,2,0,2
crypto/evp/libcrypto-lib-e_aria.c,0,0,15,15
test/ml_kem_evp_extra_test-bin-ml_kem_evp_extra_test.c,2,1,2,5
crypto/x509/libcrypto-shlib-v3_battcons.c,1,0,0,1
crypto/encode_decode/libcrypto-lib-encoder_lib.c,0,2,2,4
ssl/quic/libssl-lib-quic_lcidm.c,0,0,3,3
crypto/libcrypto-shlib-params_dup.c,0,2,6,8
crypto/objects/libcrypto-shlib-o_names.c,0,1,2,3
crypto/bn/libcrypto-lib-bn_rand.c,0,8,5,13
fuzz/slh-dsa-test-bin-fuzz_rand.c,0,0,1,1
