File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-fdutimensat.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-close-stream.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32iscntrl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-tmpdir.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_upper.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32tolower.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-ino-map.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-rand-isaac.c,0,0,4,4
../samples/decompilations/coreutils/lib libcoreutils_a-sig2str.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-areadlink-with-size.c,0,0,1,1
../samples/decompilations/coreutils/src yes.c,0,1,4,5
../samples/decompilations/coreutils/src uptime.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-crc-x86_64-pclmul.c,17,0,3,20
../samples/decompilations/coreutils/src show-date.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests concat-filename.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-copy-file-range.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-timespec.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-human.c,0,2,5,7
../samples/decompilations/coreutils/src head.c,0,6,15,21
../samples/decompilations/coreutils/lib malloc libcoreutils_a-scratch_buffer_grow.c,0,0,0,0
../samples/decompilations/coreutils/src libcksum_pclmul_a-cksum_pclmul.c,10,0,5,15
../samples/decompilations/coreutils/lib libcoreutils_a-dirname-lgpl.c,0,0,2,2
../samples/decompilations/coreutils/src dircolors.c,1,6,7,14
../samples/decompilations/coreutils/lib libcoreutils_a-di-set.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-fseeko.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-printf-parse.c,0,3,13,16
../samples/decompilations/coreutils/src mkfifo.c,0,1,3,4
../samples/decompilations/coreutils/lib libcoreutils_a-base32.c,0,1,3,4
../samples/decompilations/coreutils/lib libcoreutils_a-posixtm.c,0,1,2,3
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-strlen.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-propername-lite.c,0,0,0,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_emplace_enlarge.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xgetgroups.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-dirname.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xmemcoll.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtoc32s-state.c,0,0,0,0
../samples/decompilations/coreutils/src timeout.c,0,1,2,3
../samples/decompilations/coreutils/lib libcoreutils_a-strnumcmp.c,1,7,28,36
../samples/decompilations/coreutils/src wc.c,1,5,11,17
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_xdigit.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isalnum.c,0,0,0,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_at_failure.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-set-acl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtoc32s.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-unicodeio.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-areadlink.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-ldtoastr.c,0,1,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-xgethostname.c,0,1,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-malloca.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-creat-safer.c,0,0,0,0
../samples/decompilations/coreutils/src chown-chgrp.c,0,0,0,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-chr.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-xprintf.c,0,0,0,0
../samples/decompilations/coreutils/src who.c,0,0,5,5
../samples/decompilations/coreutils/lib libcoreutils_a-freadahead.c,0,0,0,0
../samples/decompilations/coreutils/src realpath.c,0,3,2,5
../samples/decompilations/coreutils/lib libcoreutils_a-c32isalpha.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-fseterr.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbrtoc32.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-write-any-file.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbswidth.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-hash-triple-simple.c,0,0,0,0
