File,for/loops,while/loops,do-while/loops,total
lib/libcoreutils_a-base64.c,0,1,4,5
src/nice.c,0,1,2,3
src/hostid.c,0,0,1,1
src/fold.c,1,3,6,10
src/stty.c,2,7,15,24
lib/libcoreutils_a-sha512-stream.c,0,0,1,1
src/make-prime-list.c,1,2,4,7
src/lbracket.c,0,4,1,5
src/cat.c,2,2,6,10
src/logname.c,0,0,1,1
src/chroot.c,0,2,4,6
lib/libcoreutils_a-time_rz.c,0,1,4,5
lib/libcoreutils_a-tempname.c,0,0,3,3
src/b2sum-digest.c,1,5,16,22
src/unlink.c,0,0,1,1
lib/libcoreutils_a-ftoastr.c,0,1,0,1
src/mv.c,0,0,4,4
lib/libcoreutils_a-sha256-stream.c,0,0,1,1
src/df.c,1,3,11,15
lib/libcoreutils_a-memcasecmp.c,0,0,1,1
gnulib-tests/c-strcasestr.c,2,2,15,19
lib/libcoreutils_a-xstrtoumax.c,0,1,7,8
src/id.c,0,4,3,7
lib/libcoreutils_a-savedir.c,0,1,1,2
lib/libcoreutils_a-sha1-stream.c,0,0,1,1
src/libcksum_avx512_a-cksum_avx512.c,0,0,3,3
src/sum-sum.c,0,0,8,8
src/group-list.c,0,0,1,1
src/tail.c,3,20,22,45
lib/libcoreutils_a-targetdir.c,0,0,2,2
lib/libcoreutils_a-backupfile.c,0,2,2,4
lib/libcoreutils_a-safe-write.c,0,1,1,2
src/runcon.c,0,1,2,3
src/mktemp.c,0,1,2,3
src/split.c,1,5,15,21
lib/libcoreutils_a-xdectoimax.c,0,0,1,1
src/pr.c,3,12,36,51
src/basename.c,0,2,2,4
lib/libcoreutils_a-memcoll.c,0,1,0,1
lib/libcoreutils_a-savewd.c,0,1,2,3
lib/libcoreutils_a-uinttostr.c,0,0,1,1
lib/libcoreutils_a-sm3-stream.c,0,0,1,1
lib/libcoreutils_a-hash.c,5,16,14,35
src/iopoll.c,0,2,1,3
lib/libcoreutils_a-quotearg.c,0,2,5,7
lib/libcoreutils_a-xvasprintf.c,0,0,3,3
lib/libcoreutils_a-fts.c,3,8,12,23
src/sum-digest.c,0,1,2,3
src/tr.c,2,3,34,39
src/join.c,0,4,16,20
src/true.c,0,0,1,1
src/copy.c,4,3,7,14
lib/libcoreutils_a-file-has-acl.c,0,1,3,4
lib/libcoreutils_a-safe-read.c,0,1,1,2
src/unexpand.c,0,0,7,7
src/blake2/b2sum-blake2b-ref.c,2,0,3,5
lib/libcoreutils_a-mbscasecmp.c,0,0,2,2
src/blake2/cksum-blake2b-ref.c,2,0,3,5
lib/libcoreutils_a-nanosleep.c,0,1,0,1
src/base32-basenc.c,0,2,7,9
lib/libcoreutils_a-mpsort.c,0,4,0,4
src/tsort.c,1,3,10,14
src/blake2/b2sum-b2sum.c,0,0,1,1
src/md5sum-digest.c,0,8,13,21
lib/libcoreutils_a-getugroups.c,0,2,3,5
src/whoami.c,0,0,1,1
gnulib-tests/bench_sha512-bench-sha512.c,0,0,2,2
src/remove.c,0,1,4,5
src/install.c,0,2,3,5
src/nl.c,1,2,3,6
gnulib-tests/bench_sha256-bench-sha256.c,0,0,2,2
lib/libcoreutils_a-umaxtostr.c,0,0,1,1
src/sha224sum-digest.c,1,8,12,21
lib/libcoreutils_a-strintcmp.c,0,4,9,13
lib/libcoreutils_a-parse-datetime.c,0,7,20,27
src/tee.c,0,1,8,9
lib/libcoreutils_a-buffer-lcm.c,0,0,1,1
lib/libcoreutils_a-freadseek.c,1,0,1,2
lib/libcoreutils_a-mbschr.c,1,0,0,1
lib/libcoreutils_a-read-file.c,0,0,1,1
src/link.c,0,0,1,1
lib/libcoreutils_a-randread.c,0,3,2,5
lib/libcoreutils_a-heap.c,0,1,1,2
lib/libcoreutils_a-canonicalize.c,0,2,8,10
gnulib-tests/bench_sha224-bench-sha224.c,0,0,2,2
src/sort.c,2,50,57,109
lib/libcoreutils_a-crc.c,0,0,2,2
gnulib-tests/localename.c,1,0,2,3
src/paste.c,0,5,6,11
lib/libcoreutils_a-mgetgroups.c,0,1,1,2
lib/libcoreutils_a-xnanosleep.c,0,0,2,2
lib/libcoreutils_a-dtoastr.c,0,1,0,1
src/expand.c,0,1,4,5
src/nohup.c,0,1,1,2
lib/libcoreutils_a-mini-mpq-gnulib.c,0,1,1,2
lib/libcoreutils_a-careadlinkat.c,0,0,1,1
lib/libcoreutils_a-readutmp.c,0,2,6,8
lib/libcoreutils_a-fopen.c,0,1,1,2
