File,for loops,while loops,do-while loops,total
crypto/evp/libcrypto-lib-pmeth_lib.c,1,2,0,3
crypto/evp/libcrypto-shlib-e_aes_cbc_hmac_sha1.c,9,2,7,18
crypto/evp/libcrypto-shlib-e_aes_cbc_hmac_sha256.c,9,2,7,18
crypto/evp/libcrypto-shlib-e_chacha20_poly1305.c,3,2,5,10
crypto/evp/libcrypto-shlib-encode.c,1,3,5,9
crypto/evp/libcrypto-shlib-evp_lib.c,1,0,0,1
crypto/evp/libcrypto-shlib-pmeth_lib.c,1,2,0,3
crypto/ffc/libcrypto-lib-ffc_params.c,2,1,0,3
crypto/ffc/libcrypto-lib-ffc_params_validate.c,2,0,0,2
crypto/ffc/libcrypto-shlib-ffc_params.c,2,1,0,3
crypto/ffc/libcrypto-shlib-ffc_params_validate.c,2,0,0,2
crypto/hashtable/libcrypto-lib-hashtable.c,3,5,8,16
crypto/hashtable/libcrypto-shlib-hashtable.c,3,5,8,16
crypto/hpke/libcrypto-lib-hpke.c,4,0,0,4
crypto/hpke/libcrypto-shlib-hpke.c,4,0,0,4
crypto/libcrypto-lib-deterministic_nonce.c,1,0,2,3
crypto/libcrypto-lib-params_from_text.c,1,0,3,4
crypto/libcrypto-lib-provider_core.c,6,1,18,25
crypto/libcrypto-shlib-deterministic_nonce.c,1,0,2,3
crypto/libcrypto-shlib-params_from_text.c,1,0,3,4
crypto/libcrypto-shlib-provider_core.c,6,1,18,25
crypto/md4/libcrypto-lib-md4_dgst.c,3,0,4,7
crypto/md4/libcrypto-shlib-md4_dgst.c,3,0,4,7
crypto/md5/libcrypto-lib-md5_dgst.c,3,0,3,6
crypto/md5/libcrypto-shlib-md5_dgst.c,3,0,3,6
crypto/md5/liblegacy-lib-md5_dgst.c,3,0,3,6
crypto/ml_dsa/libcrypto-lib-ml_dsa_key.c,1,0,11,12
crypto/ml_dsa/libcrypto-shlib-ml_dsa_key.c,1,0,11,12
crypto/ml_kem/libcrypto-lib-ml_kem.c,6,4,64,74
