File,for loops,while loops,do-while loops,total loops,total nodes
src/chown.c,0,1,1,2,3382
lib/libcoreutils_a-randint.c,0,0,3,3,788
src/numfmt.c,1,24,87,112,71958
lib/libcoreutils_a-skipchars.c,0,2,2,4,1068
lib/libcoreutils_a-readtokens0.c,0,0,1,1,2039
gnulib-tests/bench_crc-bench-crc.c,0,0,1,1,685
lib/libcoreutils_a-idcache.c,0,0,6,6,1735
lib/libcoreutils_a-nproc.c,0,3,0,3,1279
src/chcon.c,0,0,2,2,4573
lib/libcoreutils_a-mbslen.c,0,1,0,1,404
src/ln.c,0,0,3,3,6939
src/cksum-sum.c,0,0,8,8,3480
src/uniq.c,0,3,7,10,6766
src/ptx.c,6,21,44,71,22485
src/csplit.c,2,9,18,29,11807
lib/libcoreutils_a-modechange.c,0,4,5,9,2980
lib/libcoreutils_a-base64.c,0,1,4,5,3300
src/nice.c,0,1,2,3,2631
src/hostid.c,0,0,1,1,1316
src/fold.c,1,3,6,10,3786
src/stty.c,2,7,15,24,16674
lib/libcoreutils_a-sha512-stream.c,0,0,1,1,634
src/make-prime-list.c,1,2,4,7,2601
src/lbracket.c,0,4,1,5,10803
src/cat.c,2,2,6,10,7266
src/logname.c,0,0,1,1,1407
src/chroot.c,0,2,4,6,4672
lib/libcoreutils_a-time_rz.c,0,1,4,5,2539
lib/libcoreutils_a-tempname.c,0,0,3,3,1311
src/b2sum-digest.c,1,5,16,22,10904
src/unlink.c,0,0,1,1,1521
lib/libcoreutils_a-ftoastr.c,0,1,0,1,618
src/mv.c,0,0,4,4,6544
lib/libcoreutils_a-sha256-stream.c,0,0,1,1,634
src/df.c,1,3,11,15,10511
lib/libcoreutils_a-memcasecmp.c,0,0,1,1,189
gnulib-tests/c-strcasestr.c,2,2,15,19,4170
lib/libcoreutils_a-xstrtoumax.c,0,1,7,8,2857
src/id.c,0,4,3,7,4589
lib/libcoreutils_a-savedir.c,0,1,1,2,1344
lib/libcoreutils_a-sha1-stream.c,0,0,1,1,452
src/libcksum_avx512_a-cksum_avx512.c,0,0,3,3,1240
src/sum-sum.c,0,0,8,8,3480
src/group-list.c,0,0,1,1,997
src/tail.c,3,20,22,45,32634
lib/libcoreutils_a-targetdir.c,0,0,2,2,240
lib/libcoreutils_a-backupfile.c,0,2,2,4,2998
lib/libcoreutils_a-safe-write.c,0,1,1,2,139
src/runcon.c,0,1,2,3,2094
src/mktemp.c,0,1,2,3,3426
src/split.c,1,5,15,21,13076
lib/libcoreutils_a-xdectoimax.c,0,0,1,1,527
src/pr.c,3,12,36,51,20975
src/basename.c,0,2,2,4,2260
lib/libcoreutils_a-memcoll.c,0,1,0,1,568
lib/libcoreutils_a-savewd.c,0,1,2,3,2811
lib/libcoreutils_a-uinttostr.c,0,0,1,1,134
lib/libcoreutils_a-sm3-stream.c,0,0,1,1,417
lib/libcoreutils_a-hash.c,5,16,14,35,8142
src/iopoll.c,0,2,1,3,1175
lib/libcoreutils_a-quotearg.c,0,2,5,7,14729
lib/libcoreutils_a-xvasprintf.c,0,0,3,3,1396
lib/libcoreutils_a-fts.c,3,8,12,23,16241
src/sum-digest.c,0,1,2,3,2341
src/tr.c,2,3,34,39,20180
src/join.c,0,4,16,20,12471
src/true.c,0,0,1,1,1351
src/copy.c,4,3,7,14,42276
lib/libcoreutils_a-file-has-acl.c,0,1,3,4,2908
