file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
providers/implementations/ciphers/ciphercommon_ccm.c,providers/implementations/ciphers/ciphercommon_ccm.c,openssl,providers/implementations/ciphers/ciphercommon_ccm.c,0,0,0,0,providers/implementations/ciphers/ciphercommon_ccm.c,providers/implementations/ciphers/ciphercommon_ccm.c,0,0,0,0,providers/implementations/ciphers/ciphercommon_ccm.c,2,0,0,2
providers/implementations/ciphers/cipher_sm4_ccm_hw.c,providers/implementations/ciphers/cipher_sm4_ccm_hw.c,openssl,providers/implementations/ciphers/cipher_sm4_ccm_hw.c,0,0,0,0,providers/implementations/ciphers/cipher_sm4_ccm_hw.c,providers/implementations/ciphers/cipher_sm4_ccm_hw.c,0,0,0,0,providers/implementations/ciphers/cipher_sm4_ccm_hw.c,1,0,0,1
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,openssl,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,16,0,1,16,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,5,3,7,8,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,11,3,7,21
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,openssl,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,16,0,1,16,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,5,3,7,8,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,11,3,7,21
providers/implementations/digests/wp_prov.c,providers/implementations/digests/wp_prov.c,openssl,providers/implementations/digests/wp_prov.c,0,0,0,0,providers/implementations/digests/wp_prov.c,providers/implementations/digests/wp_prov.c,0,0,0,0,providers/implementations/digests/wp_prov.c,1,0,0,1
providers/implementations/digests/blake2b_prov.c,providers/implementations/digests/blake2b_prov.c,openssl,providers/implementations/digests/blake2b_prov.c,7,0,1,7,providers/implementations/digests/blake2b_prov.c,providers/implementations/digests/blake2b_prov.c,2,0,1,2,providers/implementations/digests/blake2_prov.c,3,0,0,3
providers/implementations/digests/ripemd_prov.c,providers/implementations/digests/ripemd_prov.c,openssl,providers/implementations/digests/ripemd_prov.c,0,0,0,0,providers/implementations/digests/ripemd_prov.c,providers/implementations/digests/ripemd_prov.c,0,0,0,0,providers/implementations/digests/ripemd_prov.c,1,0,0,1
providers/implementations/digests/md5_prov.c,providers/implementations/digests/md5_prov.c,openssl,providers/implementations/digests/md5_prov.c,0,0,0,0,providers/implementations/digests/md5_prov.c,providers/implementations/digests/md5_prov.c,0,0,0,0,providers/implementations/digests/md5_prov.c,1,0,0,1
providers/implementations/digests/sm3_prov.c,providers/implementations/digests/sm3_prov.c,openssl,providers/implementations/digests/sm3_prov.c,0,0,0,0,providers/implementations/digests/sm3_prov.c,providers/implementations/digests/sm3_prov.c,0,0,0,0,providers/implementations/digests/sm3_prov.c,1,0,0,1
providers/implementations/digests/md5_sha1_prov.c,providers/implementations/digests/md5_sha1_prov.c,openssl,providers/implementations/digests/md5_sha1_prov.c,0,0,0,0,providers/implementations/digests/md5_sha1_prov.c,providers/implementations/digests/md5_sha1_prov.c,0,0,0,0,providers/implementations/digests/md5_sha1_prov.c,1,0,0,1
