bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
provider_pkey_test-bin-provider_pkey_test.c,../samples/decompilations/rerolled/test provider_pkey_test-bin-provider_pkey_test.c,0,0,0,0,,,,,
tvgaccessor.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty thorvg src renderer tvgAccessor.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libssl-lib-quic_record_tx.c,../samples/decompilations/rerolled/ssl quic libssl-lib-quic_record_tx.c,1,5,7,13,,,,,
loader_logger_recorders.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty openxr src loader loader_logger_recorders.linuxbsd.editor.x86_64.c,2,0,4,6,,,,,
capsule_shape_2d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene resources 2d capsule_shape_2d.linuxbsd.editor.x86_64.c,5,1,13,19,,,,,
libcrypto-lib-ecb3_enc.c,../samples/decompilations/rerolled/crypto des libcrypto-lib-ecb3_enc.c,0,0,0,0,,,,,
bench_sha384-bench-sha384.c,../samples/decompilations/rerolled/gnulib-tests bench_sha384-bench-sha384.c,0,0,0,0,,,,,
cksum-crctab.c,../samples/decompilations/rerolled/src cksum-crctab.c,0,0,0,0,,,,,
users.c,../samples/decompilations/rerolled/src users.c,0,0,0,0,../samples/.cache/coreutils/coreutils-9.7/src/users.c,2,1,0,3
libcrypto-lib-bss_mem.c,../samples/decompilations/rerolled/crypto bio libcrypto-lib-bss_mem.c,0,0,0,0,,,,,
liblegacy-lib-cipher_rc4_hmac_md5_hw.c,../samples/decompilations/rerolled/providers implementations ciphers liblegacy-lib-cipher_rc4_hmac_md5_hw.c,0,0,0,0,,,,,
fbx_state.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules fbx fbx_state.linuxbsd.editor.x86_64.c,3,0,4,7,,,,,
jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules jolt_physics joints jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
compoundshape.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Physics Collision Shape CompoundShape.linuxbsd.editor.x86_64.c,16,3,18,37,,,,,
res0.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libvorbis res0.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
filters_utils.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libwebp src utils filters_utils.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
texture2.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libktx lib texture2.linuxbsd.editor.x86_64.c,4,1,17,22,,,,,
libssl-shlib-ssl_err_legacy.c,../samples/decompilations/rerolled/ssl libssl-shlib-ssl_err_legacy.c,0,0,0,0,,,,,
editor_export_platform_pc.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor export editor_export_platform_pc.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-shlib-x_attrib.c,../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-x_attrib.c,1,0,0,1,,,,,
hb-ot-face.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty harfbuzz src hb-ot-face.linuxbsd.editor.x86_64.c,2,8,12,22,,,,,
menu_button.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene gui menu_button.linuxbsd.editor.x86_64.c,7,4,24,35,,,,,
ssim_sse2.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libwebp src dsp ssim_sse2.linuxbsd.editor.x86_64.c,3,0,2,5,,,,,
libssl-shlib-thread_posix.c,../samples/decompilations/rerolled/crypto thread arch libssl-shlib-thread_posix.c,2,0,0,2,,,,,
padlock-dso-e_padlock-x86_64.c,../samples/decompilations/rerolled/engines padlock-dso-e_padlock-x86_64.c,18,3,9,30,,,,,
resource_uid.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/core io resource_uid.linuxbsd.editor.x86_64.c,4,7,33,44,,,,,
cksum-digest.c,../samples/decompilations/rerolled/src cksum-digest.c,0,0,0,0,,,,,
servlk.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty icu4c common servlk.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-shlib-d2i_pr.c,../samples/decompilations/rerolled/crypto asn1 libcrypto-shlib-d2i_pr.c,0,0,0,0,,,,,
hb-ot-shape-fallback.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty harfbuzz src hb-ot-shape-fallback.linuxbsd.editor.x86_64.c,6,5,37,48,,,,,
tone_mapper.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/servers rendering renderer_rd effects tone_mapper.linuxbsd.editor.x86_64.c,5,6,29,40,,,,,
ssl_tls13_server.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty mbedtls library ssl_tls13_server.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
scene_tree_dock.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor scene_tree_dock.linuxbsd.editor.x86_64.c,68,113,281,462,,,,,
tvgsvgscenebuilder.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty thorvg src loaders svg tvgSvgSceneBuilder.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libdefault-lib-cipher_aria_ccm_hw.c,../samples/decompilations/rerolled/providers implementations ciphers libdefault-lib-cipher_aria_ccm_hw.c,1,0,0,1,,,,,
library.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty embree common sys library.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-lib-slh_xmss.c,../samples/decompilations/rerolled/crypto slh_dsa libcrypto-lib-slh_xmss.c,0,0,0,0,,,,,
resolve.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/servers rendering renderer_rd effects resolve.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
linkvalidate.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty glslang glslang MachineIndependent linkValidate.linuxbsd.editor.x86_64.c,21,38,128,187,,,,,
libcrypto-lib-ec_deprecated.c,../samples/decompilations/rerolled/crypto ec libcrypto-lib-ec_deprecated.c,0,0,0,0,,,,,
jobsystemthreadpool.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Core JobSystemThreadPool.linuxbsd.editor.x86_64.c,7,5,20,32,,,,,
libdefault-lib-encode_key2blob.c,../samples/decompilations/rerolled/providers implementations encode_decode libdefault-lib-encode_key2blob.c,0,0,0,0,,,,,
libcrypto-lib-rsa_mp_names.c,../samples/decompilations/rerolled/crypto rsa libcrypto-lib-rsa_mp_names.c,0,0,0,0,,,,,
shared_dictionary.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty brotli common shared_dictionary.linuxbsd.editor.x86_64.c,2,0,0,2,,,,,
x509write.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty mbedtls library x509write.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-lib-md5_dgst.c,../samples/decompilations/rerolled/crypto md5 libcrypto-lib-md5_dgst.c,3,0,3,6,,,,,
libcrypto-shlib-bn_nist.c,../samples/decompilations/rerolled/crypto bn libcrypto-shlib-bn_nist.c,8,0,4,12,,,,,
