bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/bn/rsaz-avx2.c,crypto/bn/rsaz-avx2.c,0,1,5,6,22360,crypto/bn/rsaz-avx2.c,4,1,5,10,22289
providers/implementations/rands/drbg_hash.c,providers/implementations/rands/drbg_hash.c,0,3,10,13,6769,providers/implementations/rands/drbg_hash.c,3,3,8,14,6364
apps/lib/ca_internals_test-bin-apps.c,apps/lib/ca_internals_test-bin-apps.c,8,13,23,44,41482,apps/lib/ca_internals_test-bin-apps.c,9,13,23,45,41267
ssl/statem/statem_srvr.c,ssl/statem/statem_srvr.c,7,1,7,15,51324,ssl/statem/statem_srvr.c,10,1,7,18,50320
crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,0,0,4,4,13291,crypto/ripemd/rmd_dgst.c,3,0,4,7,12981
ssl/s3_lib.c,ssl/s3_lib.c,2,1,9,12,23960,ssl/s3_lib.c,3,1,9,13,23630
crypto/ct/ct_oct.c,crypto/ct/ct_oct.c,3,1,1,5,5464,crypto/ct/ct_oct.c,5,1,1,7,5281
test/helpers/sslbuffertest-bin-ssltestlib.c,test/helpers/sslbuffertest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/sslbuffertest-bin-ssltestlib.c,6,7,12,25,18505
crypto/sha/sha1dgst.c,crypto/sha/sha1dgst.c,0,0,3,3,3269,crypto/sha/sha1dgst.c,3,0,3,6,2959
crypto/modes/ocb128.c,crypto/modes/ocb128.c,3,3,7,13,17618,crypto/modes/ocb128.c,11,3,7,21,13109
crypto/des/des_enc.c,crypto/des/des_enc.c,0,0,4,4,31311,crypto/des/des_enc.c,4,0,4,8,31283
crypto/modes/ctr128.c,crypto/modes/ctr128.c,1,2,3,6,7166,crypto/modes/ctr128.c,3,2,3,8,7144
ssl/quic/json_enc.c,ssl/quic/json_enc.c,3,1,10,14,16316,ssl/quic/json_enc.c,6,1,10,17,16162
crypto/poly1305/poly1305.c,crypto/poly1305/poly1305.c,0,0,2,2,1828,crypto/poly1305/poly1305.c,1,0,2,3,1756
crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,1,3,18,22,13713,crypto/ec/ecp_nistz256.c,7,3,18,28,13240
test/helpers/sslapitest-bin-ssltestlib.c,test/helpers/sslapitest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/sslapitest-bin-ssltestlib.c,6,7,12,25,18505
crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,4,1,1,6,6578,crypto/bio/bio_addr.c,6,1,1,8,6292
ssl/quic/qlog.c,ssl/quic/qlog.c,2,3,4,9,8913,ssl/quic/qlog.c,4,3,4,11,8828
crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,1,5,37,43,19145,crypto/bn/bn_exp.c,2,5,37,44,18745
test/helpers/json_test-bin-ssltestlib.c,test/helpers/json_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/json_test-bin-ssltestlib.c,6,7,12,25,18505
providers/implementations/kdfs/pbkdf1.c,providers/implementations/kdfs/pbkdf1.c,0,0,1,1,2841,providers/implementations/kdfs/pbkdf1.c,3,0,1,4,2646
providers/implementations/rands/drbg_ctr.c,providers/implementations/rands/drbg_ctr.c,1,0,6,7,28699,providers/implementations/rands/drbg_ctr.c,2,0,6,8,28122
test/bio_pw_callback_test-bin-bio_pw_callback_test.c,test/bio_pw_callback_test-bin-bio_pw_callback_test.c,0,1,1,2,3185,test/bio_pw_callback_test-bin-bio_pw_callback_test.c,2,1,1,4,3100
crypto/modes/ghash-x86_64.c,crypto/modes/ghash-x86_64.c,130,4,3,137,36049,crypto/modes/ghash-x86_64.c,131,4,3,138,35987
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,5,3,7,15,19709,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,11,3,7,21,18139
test/evp_pkey_provided_test-bin-evp_pkey_provided_test.c,test/evp_pkey_provided_test-bin-evp_pkey_provided_test.c,3,9,3,15,35073,test/evp_pkey_provided_test-bin-evp_pkey_provided_test.c,4,9,3,16,34726
crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,1,4,0,5,13886,crypto/ui/ui_lib.c,15,4,0,19,13676
test/helpers/quic_radix_test-bin-ssltestlib.c,test/helpers/quic_radix_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/quic_radix_test-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/quicapitest-bin-ssltestlib.c,test/helpers/quicapitest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/quicapitest-bin-ssltestlib.c,6,7,12,25,18505
test/destest-bin-destest.c,test/destest-bin-destest.c,0,0,5,5,15221,test/destest-bin-destest.c,12,0,5,17,14197
crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,0,1,3,4,13151,crypto/rsa/rsa_ossl.c,1,1,3,5,12797
apps/apps.c,apps/apps.c,8,13,22,43,38612,apps/apps.c,9,13,22,44,38372
crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,2,2,5,9,14157,crypto/bio/bss_dgram_pair.c,5,2,5,12,13507
crypto/chacha/chacha-x86_64.c,crypto/chacha/chacha-x86_64.c,0,9,48,57,140287,crypto/chacha/chacha-x86_64.c,3,9,48,60,140299
crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,1,1,0,2,4340,crypto/ffc/ffc_params.c,2,1,0,3,4230
crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,0,0,4,4,2570,crypto/rc2/rc2_skey.c,1,0,4,5,2394
