File,for loops,while loops,do-while loops,total
crypto/conf/libcrypto-lib-conf_err.c,0,0,0,0
crypto/libcrypto-shlib-cpt_err.c,0,0,0,0
crypto/mdc2/libcrypto-lib-mdc2_one.c,0,0,0,0
fuzz/quic-client-test-bin-test-corpus.c,0,1,1,1
crypto/ripemd/libcrypto-lib-rmd_dgst.c,0,0,4,0
providers/implementations/rands/libdefault-lib-seed_src.c,0,0,0,0
crypto/evp/libcrypto-lib-p5_crpt.c,0,0,2,0
apps/lib/libapps-lib-fmt.c,0,0,0,0
ssl/quic/libssl-lib-quic_rstream.c,0,2,5,2
crypto/engine/libcrypto-lib-eng_lib.c,0,0,0,0
crypto/bn/libcrypto-lib-bn_mont.c,0,0,4,0
crypto/x509/libcrypto-shlib-v3_single_use.c,0,0,0,0
crypto/bio/libcrypto-lib-bio_addr.c,4,1,1,5
providers/implementations/exchange/libdefault-lib-ecdh_exch.c,0,0,0,0
crypto/libcrypto-shlib-ebcdic.c,0,0,0,0
crypto/asn1/libcrypto-shlib-x_val.c,0,0,0,0
crypto/x509/libcrypto-lib-v3_admis.c,2,2,0,4
crypto/encode_decode/libcrypto-lib-decoder_lib.c,0,1,6,1
crypto/bio/libcrypto-lib-bf_prefix.c,0,1,2,1
crypto/asn1/libcrypto-lib-p5_scrypt.c,0,0,0,0
crypto/slh_dsa/libcrypto-shlib-slh_hash.c,0,0,0,0
providers/implementations/rands/seeding/libdefault-lib-rand_win.c,0,0,0,0
test/bio_memleak_test-bin-bio_memleak_test.c,0,0,0,0
test/curve448_internal_test-bin-curve448_internal_test.c,0,1,2,1
crypto/cmp/libcrypto-lib-cmp_vfy.c,2,1,3,3
crypto/evp/libcrypto-lib-e_aes_cbc_hmac_sha256.c,5,2,7,7
fuzz/ml-kem-test-bin-fuzz_rand.c,0,0,1,0
ssl/quic/libssl-lib-quic_method.c,0,0,0,0
crypto/md5/libcrypto-lib-md5_one.c,0,0,0,0
crypto/engine/libcrypto-lib-eng_pkey.c,0,0,0,0
providers/implementations/kdfs/libdefault-lib-hkdf.c,1,0,1,1
crypto/asn1/libcrypto-lib-tasn_fre.c,0,2,1,2
crypto/asn1/libcrypto-shlib-p5_pbe.c,0,0,0,0
crypto/x509/libcrypto-lib-v3_utf8.c,0,0,0,0
test/provider_pkey_test-bin-fake_rsaprov.c,1,0,0,1
crypto/ts/libcrypto-shlib-ts_rsp_verify.c,0,3,2,3
providers/implementations/ciphers/liblegacy-lib-cipher_rc2.c,1,0,0,1
crypto/cast/libcrypto-lib-c_cfb64.c,0,0,2,0
crypto/evp/libcrypto-lib-e_null.c,0,0,0,0
crypto/comp/libcrypto-lib-comp_lib.c,0,0,0,0
apps/openssl-bin-s_client.c,14,7,18,21
ssl/quic/libssl-lib-quic_txpim.c,1,1,0,2
crypto/encode_decode/libcrypto-lib-encoder_pkey.c,1,0,2,1
crypto/pem/libcrypto-lib-pem_oth.c,0,0,0,0
ssl/statem/libssl-shlib-extensions_cust.c,0,2,8,2
test/ecdsatest-bin-ecdsatest.c,0,0,0,0
crypto/dh/libcrypto-lib-dh_lib.c,0,0,0,0
test/buildtest_c_ml_kem-bin-buildtest_ml_kem.c,0,0,0,0
crypto/evp/libcrypto-shlib-e_rc4.c,0,0,0,0
crypto/asn1/libcrypto-shlib-asn_mstbl.c,1,0,1,1
providers/implementations/signature/libdefault-lib-ml_dsa_sig.c,0,0,0,0
crypto/pem/libcrypto-lib-pem_lib.c,0,1,8,1
crypto/bn/libcrypto-lib-bn_conv.c,0,3,5,3
fuzz/bignum-test-bin-test-corpus.c,0,1,1,1
crypto/err/libcrypto-shlib-err_all_legacy.c,0,0,0,0
crypto/x509/libcrypto-lib-pcy_tree.c,8,2,9,10
crypto/asn1/libcrypto-shlib-tasn_new.c,0,0,1,0
test/asn1_decode_test-bin-asn1_decode_test.c,0,0,0,0
crypto/evp/libcrypto-shlib-legacy_blake2.c,0,0,0,0
crypto/asn1/libcrypto-lib-tasn_enc.c,5,0,2,5
crypto/rc2/libcrypto-shlib-rc2ofb64.c,0,0,1,0
crypto/libcrypto-lib-params_dup.c,0,2,6,2
crypto/rsa/libcrypto-shlib-rsa_chk.c,1,0,3,1
crypto/asn1/libcrypto-lib-a_time.c,0,1,3,1
crypto/ec/libcrypto-shlib-ecp_nistz256-x86_64.c,0,0,9,0
fuzz/provider-test-bin-provider.c,0,11,3,11
crypto/engine/libcrypto-lib-eng_table.c,0,1,3,1
providers/implementations/ciphers/libdefault-lib-cipher_aria_gcm.c,0,0,0,0
crypto/tls13secretstest-bin-quic_vlint.c,0,0,0,0
crypto/ec/curve448/libcrypto-shlib-scalar.c,0,1,7,1
test/ssl_old_test-bin-ssl_old_test.c,8,2,7,10
crypto/libcrypto-shlib-passphrase.c,0,0,0,0
ssl/libssl-shlib-ssl_conf.c,0,1,8,1
fuzz/quic-rcidm-test-bin-quic-rcidm.c,0,0,4,0
ssl/record/methods/libssl-shlib-tls1_meth.c,0,0,5,0
crypto/x509/libcrypto-lib-v3_group_ac.c,0,0,0,0
test/helpers/quic_multistream_test-bin-ssltestlib.c,4,7,12,11
crypto/rsa/libcrypto-shlib-rsa_ameth.c,0,0,1,0
test/helpers/servername_test-bin-ssltestlib.c,4,7,12,11
ssl/quic/libssl-shlib-quic_tls.c,0,2,0,2
crypto/dh/libcrypto-shlib-dh_group_params.c,0,0,0,0
crypto/ts/libcrypto-lib-ts_req_utils.c,0,0,0,0
crypto/conf/libcrypto-lib-conf_sap.c,0,0,0,0
crypto/bn/libcrypto-shlib-bn_srp.c,0,0,0,0
apps/openssl-bin-passwd.c,3,4,40,7
crypto/libcrypto-shlib-threads_none.c,0,0,0,0
test/quic_cfq_test-bin-quic_cfq_test.c,0,2,9,2
crypto/asn1/libcrypto-lib-evp_asn1.c,0,0,0,0
crypto/ocsp/libcrypto-shlib-ocsp_http.c,0,0,0,0
