File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/thirdparty libwebp src dsp ssim_sse2.linuxbsd.editor.x86_64.c,3,0,2,5
../samples/decompilations/rerolled/crypto thread arch libssl-shlib-thread_posix.c,2,0,0,2
../samples/decompilations/rerolled/engines padlock-dso-e_padlock-x86_64.c,18,3,9,30
../samples/decompilations/rerolled/core io resource_uid.linuxbsd.editor.x86_64.c,4,7,33,44
../samples/decompilations/rerolled/src cksum-digest.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty icu4c common servlk.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto asn1 libcrypto-shlib-d2i_pr.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty harfbuzz src hb-ot-shape-fallback.linuxbsd.editor.x86_64.c,6,5,37,48
../samples/decompilations/rerolled/servers rendering renderer_rd effects tone_mapper.linuxbsd.editor.x86_64.c,5,6,29,40
../samples/decompilations/rerolled/thirdparty mbedtls library ssl_tls13_server.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/editor scene_tree_dock.linuxbsd.editor.x86_64.c,68,113,281,462
../samples/decompilations/rerolled/thirdparty thorvg src loaders svg tvgSvgSceneBuilder.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/providers implementations ciphers libdefault-lib-cipher_aria_ccm_hw.c,1,0,0,1
../samples/decompilations/rerolled/thirdparty embree common sys library.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto slh_dsa libcrypto-lib-slh_xmss.c,0,0,0,0
../samples/decompilations/rerolled/servers rendering renderer_rd effects resolve.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty glslang glslang MachineIndependent linkValidate.linuxbsd.editor.x86_64.c,21,38,128,187
../samples/decompilations/rerolled/crypto ec libcrypto-lib-ec_deprecated.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Core JobSystemThreadPool.linuxbsd.editor.x86_64.c,7,5,20,32
../samples/decompilations/rerolled/providers implementations encode_decode libdefault-lib-encode_key2blob.c,0,0,0,0
../samples/decompilations/rerolled/crypto rsa libcrypto-lib-rsa_mp_names.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty brotli common shared_dictionary.linuxbsd.editor.x86_64.c,2,0,0,2
../samples/decompilations/rerolled/thirdparty mbedtls library x509write.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto md5 libcrypto-lib-md5_dgst.c,3,0,3,6
