bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,Repo,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
src/hostid.c,src/hostid.c,coreutils,src/hostid.c,0,0,0,0,src/hostid.c,0,0,0,0
src/echo.c,src/echo.c,coreutils,src/echo.c,1,5,0,6,src/echo.c,0,0,0,0
src/cksum_avx2.c,src/cksum_avx2.c,coreutils,src/cksum_avx2.c,0,4,0,4,,,,,
src/digest.c,src/digest.c,coreutils,src/digest.c,7,10,1,17,,,,,
src/expr.c,src/expr.c,coreutils,src/expr.c,5,6,2,11,src/expr.c,0,0,0,0
src/paste.c,src/paste.c,coreutils,src/paste.c,3,5,0,8,src/paste.c,0,0,0,0
src/link.c,src/link.c,coreutils,src/link.c,0,0,0,0,src/link.c,0,0,0,0
src/stat.c,src/stat.c,coreutils,src/stat.c,9,2,1,11,src/stat.c,0,0,0,0
src/dd.c,src/dd.c,coreutils,src/dd.c,12,7,10,19,src/dd.c,0,0,0,0
src/ls-ls.c,src/ls-ls.c,coreutils,src/ls-ls.c,0,0,0,0,src/ls-ls.c,0,0,0,0
src/chown-chgrp.c,src/chown-chgrp.c,coreutils,src/chown-chgrp.c,0,0,0,0,src/chown-chgrp.c,0,0,0,0
src/hostname.c,src/hostname.c,coreutils,src/hostname.c,0,0,0,0,,,,,
src/sort.c,src/sort.c,coreutils,src/sort.c,32,58,8,90,src/sort.c,5,49,57,111
src/operand2sig.c,src/operand2sig.c,coreutils,src/operand2sig.c,1,0,0,1,src/operand2sig.c,0,0,0,0
src/fmt.c,src/fmt.c,coreutils,src/fmt.c,9,11,5,20,src/fmt.c,0,0,0,0
src/pathchk.c,src/pathchk.c,coreutils,src/pathchk.c,5,2,0,7,src/pathchk.c,0,0,0,0
src/prog-fprintf.c,src/prog-fprintf.c,coreutils,src/prog-fprintf.c,0,0,0,0,src/prog-fprintf.c,0,0,0,0
src/coreutils-arch.c,src/coreutils-arch.c,coreutils,src/coreutils-arch.c,0,0,0,0,,,,,
src/expand.c,src/expand.c,coreutils,src/expand.c,0,4,1,4,src/expand.c,0,0,0,0
src/fold.c,src/fold.c,coreutils,src/fold.c,2,3,0,5,src/fold.c,0,0,0,0
src/find-mount-point.c,src/find-mount-point.c,coreutils,src/find-mount-point.c,0,1,0,1,src/find-mount-point.c,0,0,0,0
src/relpath.c,src/relpath.c,coreutils,src/relpath.c,1,1,0,2,src/relpath.c,0,0,0,0
src/dircolors.c,src/dircolors.c,coreutils,src/dircolors.c,3,6,1,9,src/dircolors.c,2,6,7,15
src/tty.c,src/tty.c,coreutils,src/tty.c,0,1,0,1,src/tty.c,0,0,0,0
src/env.c,src/env.c,coreutils,src/env.c,10,7,0,17,src/env.c,4,3,13,20
src/nice.c,src/nice.c,coreutils,src/nice.c,1,0,0,1,src/nice.c,0,0,0,0
