File,for/loops,while/loops,do-while/loops,total
thirdparty/icu4c/common/ubidiln.c,2,11,47,60
thirdparty/glslang/glslang/MachineIndependent/Scan.c,2,22,38,62
editor/plugins/sub_viewport_preview_editor_plugin.c,10,2,15,27
servers/rendering/rendering_server_default.c,7,4,99,110
thirdparty/zstd/compress/zstd_compress.c,32,12,35,79
thirdparty/zstd/common/zstd_common.c,0,0,0,0
modules/ktx/register_types.c,2,0,3,5
modules/jolt_physics/shapes/jolt_separation_ray_shape_3d.c,0,0,4,4
modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,11,11,36,58
thirdparty/basis_universal/encoder/basisu_kernels_sse.c,0,0,0,0
thirdparty/libwebp/src/utils/bit_writer_utils.c,0,1,4,5
thirdparty/harfbuzz/src/hb-subset-plan.c,39,184,618,841
thirdparty/glslang/glslang/ResourceLimits/ResourceLimits.c,0,1,0,1
modules/openxr/extensions/openxr_composition_layer_extension.c,2,3,9,14
thirdparty/meshoptimizer/vertexcodec.c,1,4,16,21
thirdparty/cvtt/ConvectionKernels_IndexSelector.c,0,0,0,0
drivers/windows/dir_access_windows.c,0,0,0,0
core/io/json.c,32,12,65,109
servers/rendering/shader_language.c,30,177,536,743
editor/import/resource_importer_layered_texture.c,8,15,41,64
thirdparty/icu4c/common/uloc.c,2,15,24,41
editor/editor_layouts_dialog.c,17,6,25,48
scene/resources/curve.c,12,14,133,159
scene/gui/line_edit.c,12,10,46,68
core/variant/variant_call.c,4,119,1247,1370
editor/editor_properties_array_dict.c,27,55,155,237
thirdparty/freetype/src/svg/svg.c,0,0,0,0
thirdparty/icu4c/common/ustrcase_locale.c,0,0,0,0
editor/groups_editor.c,17,40,115,172
thirdparty/libwebp/src/dsp/filters_mips_dsp_r2.c,0,0,0,0
servers/audio/effects/reverb_filter.c,1,1,14,16
modules/vorbis/register_types.c,2,0,4,6
scene/resources/3d/navigation_mesh_source_geometry_data_3d.c,7,3,56,66
modules/jolt_physics/register_types.c,0,0,0,0
scene/3d/voxel_gi.c,11,4,31,46
core/extension/gdextension_special_compat_hashes.c,0,0,0,0
thirdparty/msdfgen/core/EdgeHolder.c,0,0,0,0
modules/openxr/action_map/openxr_binding_modifier.c,4,0,14,18
thirdparty/harfbuzz/src/hb-ot-shaper-hangul.c,2,2,19,23
scene/3d/physics/joints/cone_twist_joint_3d.c,5,0,9,14
scene/2d/marker_2d.c,5,0,10,15
thirdparty/thorvg/src/renderer/sw_engine/tvgSwPostEffect.c,0,1,16,17
platform/linuxbsd/xkbcommon-so_wrap.c,0,0,0,0
thirdparty/freetype/src/sdf/sdf.c,2,5,36,43
core/math/geometry_3d.c,2,13,68,83
core/math/rect2i.c,0,0,0,0
editor/import/resource_importer_wav.c,4,0,9,13
thirdparty/manifold/src/boolean_result.c,10,29,77,116
core/string/string_builder.c,0,1,3,4
thirdparty/misc/smaz.c,1,1,4,6
editor/plugins/editor_debugger_plugin.c,5,15,43,63
thirdparty/libwebp/src/dsp/lossless.c,1,0,35,36
servers/rendering/storage/environment_storage.c,1,1,5,7
thirdparty/mbedtls/library/ecjpake.c,1,0,3,4
thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMorton.c,2,2,8,12
thirdparty/mbedtls/library/camellia.c,4,5,24,33
editor/plugins/text_editor.c,17,9,21,47
thirdparty/meshoptimizer/spatialorder.c,2,0,13,15
scene/gui/reference_rect.c,0,0,7,7
servers/audio/effects/audio_effect_delay.c,8,0,13,21
modules/gdscript/language_server/gdscript_language_protocol.c,6,11,46,63
thirdparty/graphite/src/TtfUtil.c,0,2,8,10
thirdparty/jolt_physics/Jolt/Physics/Constraints/GearConstraint.c,1,0,2,3
thirdparty/freetype/src/otvalid/otvalid.c,1,15,57,73
thirdparty/icu4c/common/ucnv2022.c,0,0,0,0
modules/gltf/gltf_document.c,111,134,447,692
scene/3d/navigation_obstacle_3d.c,4,5,19,28
thirdparty/basis_universal/encoder/pvpngreader.c,5,11,106,122
thirdparty/basis_universal/encoder/basisu_opencl.c,0,0,0,0
thirdparty/pcre2/src/pcre2_compile_16.c,4,28,58,90
scene/3d/gpu_particles_3d.c,7,10,25,42
modules/jolt_physics/shapes/jolt_shape_3d.c,2,4,21,27
thirdparty/mbedtls/library/oid.c,0,6,21,27
scene/resources/3d/box_shape_3d.c,5,0,11,16
modules/webxr/register_types.c,0,0,1,1
thirdparty/icu4c/common/cstring.c,0,6,2,8
scene/resources/camera_attributes.c,6,0,8,14
thirdparty/icu4c/common/utext.c,2,4,15,21
servers/audio/audio_rb_resampler.c,0,0,8,8
thirdparty/harfbuzz/src/hb-aat-map.c,0,3,27,30
thirdparty/jolt_physics/Jolt/Physics/Collision/EstimateCollisionResponse.c,0,0,5,5
thirdparty/libwebp/src/dsp/lossless_neon.c,0,0,0,0
editor/plugins/gizmos/gpu_particles_3d_gizmo_plugin.c,5,0,7,12
