File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/rerolled/rerolledsrc libstdbuf_so-libstdbuf.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fsusage.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-printf-frexpl.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-chmodat.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-vfzprintf.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-mbsrtoc32s.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fpurge.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unictype libcoreutils_a-ctype_upper.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-c32isalpha.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-freadahead.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-i-ring.c,1,0,0,1,423
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-af_alg.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc rm.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests localename-environ.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-c32ispunct.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests bench_sha224-bench-sha224.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xstrtold.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-posix_memalign.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-exitfail.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-filenamecat.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc temp-stream.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests str_startswith.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-cloexec.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fts.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-dup-safer-flag.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc cut.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc dd.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests xconcat-filename.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-posixver.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unistr libcoreutils_a-u32-pcpy.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-sha1.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-mkdir-p.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc sha256sum-digest.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc stdbuf.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-get-permissions.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc copy.c,7,3,7,17,42033
../samples/decompilations/coreutils/rerolled/rerolledsrc basename.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc true.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unictype libcoreutils_a-ctype_xdigit.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc numfmt.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc split.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests strerror_r.c,0,0,0,0,1
