File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/openssl/apps openssl-bin-rsautl.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_sstream.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test helpers cmp_client_test-bin-cmp_testlib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libcrypto-lib-mem.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers liblegacy-lib-prov_running.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test buildtest_c_hmac-bin-buildtest_hmac.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations digests libdefault-lib-sm3_prov.c,1,0,0,1
../samples/decompilations/rerolled/openssl/apps lib ca_internals_test-bin-app_x509.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz cms-test-bin-cms.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-v3_no_rev_avail.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto slh_dsa libcrypto-shlib-slh_hypertree.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl record methods libssl-shlib-tls_common.c,3,6,18,27
../samples/decompilations/rerolled/openssl/fuzz hashtable-test-bin-fuzz_rand.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-v3_admis.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-lib-ec_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-v3_sda.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ts libcrypto-shlib-ts_conf.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_tdes.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto property libcrypto-lib-property_string.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-lib-eck_prn.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto srp libcrypto-shlib-srp_vfy.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-lib-rsa_sign.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-v3_bitst.c,0,0,0,0
