File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/openssl/crypto libcrypto-lib-mem.c,0,0,0,0,1561
../samples/decompilations/openssl/providers liblegacy-lib-prov_running.c,0,0,0,0,32
../samples/decompilations/openssl/test buildtest_c_hmac-bin-buildtest_hmac.c,0,0,0,0,17
../samples/decompilations/openssl/providers implementations digests libdefault-lib-sm3_prov.c,0,0,0,0,1186
../samples/decompilations/openssl/apps lib ca_internals_test-bin-app_x509.c,0,0,0,0,1193
../samples/decompilations/openssl/fuzz cms-test-bin-cms.c,0,0,0,0,312
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-v3_no_rev_avail.c,0,0,0,0,120
../samples/decompilations/openssl/crypto slh_dsa libcrypto-shlib-slh_hypertree.c,0,0,2,2,1256
../samples/decompilations/openssl/ssl record methods libssl-shlib-tls_common.c,2,6,18,26,24956
../samples/decompilations/openssl/fuzz hashtable-test-bin-fuzz_rand.c,0,0,1,1,1942
../samples/decompilations/openssl/crypto x509 libcrypto-lib-v3_admis.c,2,2,0,4,4332
../samples/decompilations/openssl/crypto ec libcrypto-lib-ec_pmeth.c,0,0,0,0,5198
../samples/decompilations/openssl/crypto x509 libcrypto-lib-v3_sda.c,1,0,1,2,882
../samples/decompilations/openssl/crypto ts libcrypto-shlib-ts_conf.c,1,3,0,4,5441
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_tdes.c,0,0,0,0,169
../samples/decompilations/openssl/crypto property libcrypto-lib-property_string.c,0,0,0,0,2980
../samples/decompilations/openssl/crypto ec libcrypto-lib-eck_prn.c,2,0,1,3,3560
../samples/decompilations/openssl/crypto srp libcrypto-shlib-srp_vfy.c,6,2,1,9,8192
../samples/decompilations/openssl/crypto rsa libcrypto-lib-rsa_sign.c,0,0,0,0,3400
../samples/decompilations/openssl/crypto x509 libcrypto-lib-v3_bitst.c,0,2,2,4,902
../samples/decompilations/openssl/crypto modes libcrypto-lib-cfb128.c,0,0,8,8,7136
../samples/decompilations/openssl/crypto ec libcrypto-lib-ec_kmeth.c,0,0,0,0,3338
../samples/decompilations/openssl/apps lib ca_internals_test-bin-engine.c,0,0,0,0,1490
../samples/decompilations/openssl/crypto libcrypto-shlib-cryptlib.c,0,0,0,0,421
../samples/decompilations/openssl/crypto engine libcrypto-lib-eng_fat.c,0,1,1,2,1607
../samples/decompilations/openssl/providers implementations keymgmt libdefault-lib-dsa_kmgmt.c,1,0,0,1,6278
../samples/decompilations/openssl/engines dasync-dso-e_dasync.c,0,1,0,1,7934
../samples/decompilations/openssl/crypto des libcrypto-shlib-ofb64ede.c,0,0,1,1,950
../samples/decompilations/openssl/fuzz quic-lcidm-test-bin-test-corpus.c,0,1,1,2,967
../samples/decompilations/openssl/providers implementations ciphers liblegacy-lib-cipher_rc2.c,1,0,0,1,5494
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-x509spki.c,0,0,0,0,854
../samples/decompilations/openssl/crypto evp libcrypto-shlib-c_alld.c,0,0,0,0,599
../samples/decompilations/openssl/crypto aria libcrypto-shlib-aria.c,0,0,2,2,10608
../samples/decompilations/openssl/crypto engine libcrypto-shlib-eng_fat.c,0,1,1,2,1607
../samples/decompilations/openssl/crypto rsa libcrypto-lib-rsa_gen.c,4,2,2,8,8153
../samples/decompilations/openssl/crypto x509 libcrypto-lib-x_ietfatt.c,2,1,0,3,2007
../samples/decompilations/openssl/crypto modes libcrypto-lib-cts128.c,0,0,10,10,17558
../samples/decompilations/openssl/crypto evp libcrypto-lib-skeymgmt_meth.c,0,1,0,1,2401
../samples/decompilations/openssl/crypto dh libcrypto-lib-dh_kdf.c,0,0,0,0,881
../samples/decompilations/openssl/test helpers quicapitest-bin-quictestlib.c,0,1,11,12,15422
../samples/decompilations/openssl/crypto libcrypto-shlib-param_build_set.c,0,0,2,2,1217
../samples/decompilations/openssl/ssl record methods libssl-shlib-dtls_meth.c,0,2,1,3,7923
../samples/decompilations/openssl/providers implementations asymciphers libdefault-lib-sm2_enc.c,0,0,0,0,1453
../samples/decompilations/openssl/crypto dh libcrypto-shlib-dh_pmeth.c,0,0,0,0,4626
../samples/decompilations/openssl/crypto bn libcrypto-lib-bn_div.c,0,1,4,5,2293
../samples/decompilations/openssl/crypto bn libcrypto-lib-rsaz-4k-avx512.c,0,0,2,2,6117
../samples/decompilations/openssl/crypto modes libcrypto-lib-ofb128.c,1,0,1,2,1516
